Item Id,SKU,Type,Brand,Connector A,Cable Length,Connector B,Connection Split/Duplication,Features,Color,Gauge,Country/Region of Manufacture,Compatible Brand,Compatible Model,Output Voltage,Fiber Type,Manufacturer Warranty,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,
"255494754324","","Audio Adapter/Converter","Unbranded","3.5 mm Male","9 ft","RCA/Phono Male","1:3","Round Cable","Black","","","","","","","","","","","","","","",
"254682880970","299054","Cable","Interloper","","","","","","White","","","","","","","","3.5mm-Audio-Cable","","","","","","",
