Item Id,SKU,Brand,Inrush Current Rating,Nominal Current Rating,Output Voltage Rating (DC),Output Voltage Rating (AC),Mounting Style,Nominal Voltage Rating (DC),Efficiency,Construction Type,Nominal Power Rating,Nominal Voltage Rating (AC),Series,Item Width,Plug Type,Item Diameter,Item Depth,Color,Item Height,Country/Region of Manufacture,Installation Area,Type,Protection Properties,MPN,Backup Time,Maximum Operating Temperature,Minimum Operating Temperature,Nominal Capacity,Ripple & Noise,Custom Bundle,Bundle Description,California Prop 65 Warning,Features,
"265413770757","101073","Athena","","","","","","","","","","","","","","","","","","","","","","Athena-AP-AT30","","","","","","","","","",
"265316457729","110642","Delta","","","","","","","","","","","","","","","","","","","","","","DPS-250AB-7-B","","","","","","","","","",
"254093303500","109365","PC Chips","","","","","","","","","","","","","","","","","","","","","","PC100-Model-PS150","","","","","","","","","",
"254093300807","108871","PC Chips","","","","","","","","","","","","","","","","","","","","","","PS100","","","","","","","","","",
