Item Id,SKU,Size,Style,Brand,Size Type,Sleeve Type,Neckline,Sleeve Length,Pattern,Material,Type,Accents,Color,Theme,Features,Fabric Type,Occasion,Department,Closure,Character,Strap Type,Season,Fit,Personalize,Country/Region of Manufacture,Vintage,Handmade,Garment Care,California Prop 65 Warning,MPN,Personalization Instructions,
"254760647583","304895","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254760647583","304894","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254760647583","304897","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254760647583","307301","2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254728305773","302038",,"Camisole","Generic","Regular","sleeveless","Scoop Neck","Sleeveless","Solid","Rayon","Tank","Set of 3","Black Coral Dusty Lavender","Holiday","Collarless","Rayon","Casual","Women","","Ladies Tank Tops","","","Regular","","","No","","","","Set-of-3-Tank-Tops","",
"254728305773","302041","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254728305773","302040","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254728305773","302039","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255557140597","308182",,"T-Shirt","Zenana Outfitters","Regular","Short Sleeve","V-Neck","Short Sleeve","Camouflage","Polyester Blend","T-Shirt","Round Hem","Gray","Summer","All Seasons,Collarless","","Casual","Women","","Women's Tops","","Fall,Spring,Summer","Regular","","","No","","","","","",
"255557140597","308185","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255557140597","308184","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255557140597","308183","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255557140597","308186","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255557115020","308177",,"T-Shirt","Zenana Outfitters","Regular","Short Sleeve","V-Neck","Short Sleeve","Camouflage","Polyester Blend","T-Shirt","Round Hem","Green","Summer","All Seasons,Collarless","","Casual","Women","","Women's Tops","","Fall,Spring,Summer","Regular","","","No","","","","","",
"255557115020","308180","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255557115020","308179","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255557115020","308178","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255557115020","308181","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255556440501","308172",,"Camisole","Zenana Outfitters","Regular","Short Sleeve","V-Neck","Short Sleeve","Camouflage","Polyester Blend","T-Shirt","Round Hem","Multicolor","Summer","All Seasons,Collarless","","Casual","Women","","Women's Tops","","Fall,Spring,Summer","Regular","","","No","","","","","",
"255556440501","308175","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255556440501","308174","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255556440501","308173","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255556440501","308176","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255558552947","308207",,"Tunic","Zenana Outfitters","Plus","Asymmetrical Sleeve","Round Neck","Short Sleeve","Solid","Polyester Blend","Blouse","Lace","Yellow","Summer","All Seasons","Lace","","Women","","Plus Size","","Summer","Relaxed","","","","","","","","",
"255558552947","308208","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255558552947","308209","2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255558552947","308210","3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254695134099","301935",,"Camisole","Zenana Outfitters","Regular","Sleeveless","V-Neck","Sleeveless","Solid","Polyester","Camisole","Strap","Cabernet","Reversible","Reversible","Knit","Casual,Travel","Women","","Camisole","Spaghetti","","Regular","","","No","","","","Reversible-Spaghetti-Strap-Cami","",
"254695134099","301939","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254695134099","301938","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254695134099","301937","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254695134099","301936","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255558466223","308197",,"Camisole","Color Alien","Regular","Sleeveless","V-Neck","Sleeveless","Camouflage","Polyester Blend","Tank","Round Hem","Desert Mustard","Summer","spaghetti strap","","Casual","Women","","Women's Tops","Spaghetti","Fall,Spring,Summer","Regular","","","No","","","","","",
"255558466223","308200","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255558466223","308199","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255558466223","308198","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255558466223","308201","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265713438150","308187",,"Camisole","Zenana Outfitters","Regular","Sleeveless","V-Neck","Sleeveless","Camouflage","Polyester Blend","Tank","Round Hem","Almond","Summer","Collarless","","Casual","Women","","Women's Tops","Spaghetti","Fall,Spring,Summer","Regular","","","No","","","","","",
"265713438150","308190","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265713438150","308189","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265713438150","308188","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265713438150","308191","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255558402754","308192",,"Camisole","Zenana Outfitters","Regular","Sleeveless","V-Neck","Sleeveless","Camouflage","Polyester Blend","Tank","Round Hem","Green","Summer","spaghetti strap","","Casual","Women","","Women's Tops","Spaghetti","Fall,Spring,Summer","Regular","","","No","","","","","",
"255558402754","308195","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255558402754","308194","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255558402754","308193","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255558402754","308196","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
