Item Id,SKU,Brand,Type,Features,Material,Pattern,Color,Transparency,Style,Room,Item Length,Curtain Heading,Item Width,Item Weight,Country/Region of Manufacture,Personalize,Theme,Department,Compatible Window Type,Year Manufactured,Smart Home Protocol,Care Instructions,Smart Home Compatibility,Time Period Manufactured,Mounting,Size,Adjustability,MPN,Manufacturer,Model,California Prop 65 Warning,Item Height,Bundle Description,Custom Bundle,Personalization Instructions,
"255396302598","308012","Unbranded","Panels","Blackout","Polyester","Floral","Burgundy Gold","Blackout","Modern","Any Room","84 in","Grommets","54 in","4 lbs","","","","","","","","","","","windows rod","54 x 84 in","","Blackout Curtains","","","","","","","",
"265558795850","308011","Unbranded","Panels","Attached Valances,Blackout,Indoors","Polyester","Floral","Gold and Rust","Blackout","Classic","Any Room","84 in","Rod Pocket","60 in","","","","","Adults","","","","Machine Wash","","","Window Frame Mounted","60 x 84 in","","Cancun Window Curtains Set","","","","84 in","","","",
