Item Id,SKU,Type,Power Source,Brand,Features,Number of Cameras Included,Color,Location,Battery Included,Voltage,Model,MPN,Power,Custom Bundle,Bundle Description,Country/Region of Manufacture,California Prop 65 Warning,Item Height,Item Weight,Item Width,Manufacturer Warranty,Year Manufactured,
"265919199145","308311","Surveillance Camera","Battery","Unbranded","Flashing Red LED","6","Black","Outdoor & Indoor","No","3 V","Fake Dummy Dome Security Surveillance Camera","Fake-Dummy-Dome-Security-Camera-LED-Red-Light","5 W","No","","China","No","3 in","4 oz","4.5 in","3 Months","2022",
"265919147131","304898","Surveillance Camera","Battery","Unbranded","Flashing Red LED","1","Black","Outdoor & Indoor","No","3 V","Fake Dummy Dome Security Surveillance Camera","Fake-Dummy-Dome-Security-Camera-LED-Red-Light","5 W","No","","","No","3 in","4 oz","4.5 in","3 Months","2022",
