Item Id,SKU,Connector A,Connection Split/Duplication,Type,Brand,Cable Length,Connector B,Color,Country/Region of Manufacture,Features,Compatible Model,Compatible Brand,Output Voltage,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"264161262623","107226","","","Does Not Apply","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"255131206021","124900","USB","","KVM Switch Box","StarTech","","","","","","","","","SV231USB","","","","","","","",
