Item Id,SKU,Type,Brand,Power Source,Propulsion Type,Cutting Width,Features,Blade Style,Engine Type,Drive Type,Battery Included,Color,Model,Year Manufactured,Item Width,Item Length,Item Diameter,Items included,Item Height,Material,Horsepower,Voltage,Country/Region of Manufacture,Assembly Required,Battery Life,Engine Size,Manufacturer Warranty,Power,Tank Capacity,Cable Length,Item Weight,MPN,Noise Level,Bundle Description,California Prop 65 Warning,Custom Bundle,
"255483651778","SNRS1211","Walk-Behind Lawn Mower","GreenWorks","Battery","Propelled by Hand","20 in","Electric Start,Adjustable Height,Cutting Height Settings,Cordless","Rotary","4-Stroke","","","Green","2507802","2021","20 in","20 in","3 in","","20 in","Plastic,Steel","","40 V","","","","","","","","","60 lb","2507802","","","","",
"255488705525","SNRS050","Dethatcher","GreenWorks","Corded Electric","","14 in","","Rotary","2 Stroke","","","","27022","","14 in","","14 in","","","","","","","","","","","","","","","27022","","","","",
