Item Id,SKU,Type,Brand,Character,Features,Character Family,Compatible Model,Design/finish,Material,Version,Color,Items included,Compatible Brand,Wireless charging standard,Theme,Country/Region of Manufacture,Personalize,MPN,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,Manufacturer Warranty,Personalization Instructions,
"254556877861","162491","Fitted Case/Skin","Incipio","Dualpro","","","For Apple iPhone 7","","","","Black","","Incipio","","","","","IPH-1465-BLK","","","","","","","","","",
"264072198842","182021","Clips","Zcover","","","","Cisco 8821/8821-EX","","","","Clear","Screen Protector","","","","","","","","","","","","","","","",
