Item Id,SKU,Connector A,Cable Length,Type,Brand,Color,Features,Connector B,Country/Region of Manufacture,Compatible Model,Compatible Brand,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"255140956340","299644","","","Cable","C2G","","","","","","","10312","","","","","","","",
"255139694527","121759","HDMI","","Cable","Startech","Black","","","","","","HDMIADMM3","","","","","","","",
"264424383789","118310","","","Cable","Startech","Black","","","","","","MU6MMS","","","","","","","",
"265294399726","180309","RJ45","","Cable","Tripp Lite","Beige","","","","","","N266005","","","","","","","",
