Item Id,SKU,Type,Material,Color,Features,Brand,Pattern,Shape,Item Length,Personalized,Pile Height,Country/Region of Manufacture,Item Width,Regional Design,Custom Bundle,Bundle Description,MPN,California Prop 65 Warning,Pile Type,Weave,Item Weight,
"265684736638","HMSP4773","Rugs","","Brown","","Homespice Decor","","","","","","","","","","","597717","","","","",
"265690735141","HMSP4774","Rugs","","Black","","Homespice Decor","","","","","","","","","","","597724","","","","",
