Item Id,SKU,Fuel Type,Brand,Mounting,Material,Ventilation System,Color,Suitable For,Features,Smart Home Protocol,Style,Number of Settings,Finish,Heating Technology,Type,Energy Star,Item Height,Item Width,Item Length,Item Depth,Room,Year Manufactured,Smart Home Compatibility,BTU Heating Rating,Assembly Required,Power,Model,Country/Region of Manufacture,Custom Bundle,Bundle Description,Item Weight,EC Range,MPN,California Prop 65 Warning,Coverage,Orientation,
"265887534219","ZX9PXGR155","Electric","Flowers First","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","FL2641471","","","",
"265887753572","ZX9PXGR154","Electric","Flowers First","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","FL2641470","","","",
"255725287538","ZX9PXGR156","Electric","Flowers First","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","FL2641472","","","",
"265887712935","ZX9PXGR438","Electric","Flowers First","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","FL2641521","","","",
"265665495294","PXGR437","","Gibson Living","Wall","","","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2035CC-GL","","","",
"255541727376","PXGR440","","Gibson Living","Wall","","","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2035MC-GL","","","",
"265669171755","PXGR435","Electric","Gibson Living","Wall","","","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2035WL-GL","","","",
"255538977911","PXGR436","","Gibson Living","Wall","","","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2035WS-GL","","","",
"265684850755","KGSM177","","Kingsman","","","","","","Remote Control","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","GTRC","","","",
"265669354893","TRDMR327724","Electric","Lavish Home","","","","Brown","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","80-FPWF-1","","","",
"255518215751","TRDMR327725","Electric","Lavish Home","","","","Black","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","80-FPWF-10","","","",
"265680201268","TRDMR327727","Electric","Lavish Home","","","","White","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","80-FPWF-2","","","",
"265697817235","TRDMR327728","Electric","Lavish Home","","","","Black","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","80-FPWF-3","","","",
"255513101816","TRDMR327729","Electric","Lavish Home","","","","Gray","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","80-FPWF-4","","","",
"265729968971","TRDMR327731","Electric","Lavish Home","","","","Black","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","80-FPWF-6","","","",
"255513470480","TRDMR327732","Electric","Lavish Home","","","","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","80-FPWF-7","","","",
"255539197237","TRDMR327733","Electric","Lavish Home","","","","Gray","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","80-FPWF-8","","","",
"265887630700","ZX9PXGR151","Electric","Flowers First","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","FL2641468","","","",
"255728717418","ZX9PXGR150","Electric","Flowers First","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","FL2641467","","","",
"255728668661","ZX9PXGR153","Electric","Flowers First","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","FL2641469","","","",
"265690722281","PXGR475","Ethanol","Moda Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","ER8005-MF","","","",
"265690773250","PXGR374","","Moda Flame","Wall","Stone","","","","","","","","Stone","","Fireplaces","","","","","","","","","","","","","","","","","","LW2035CC-MF","","","",
"265684571907","PXGR375","","Moda Flame","Wall","","","","","","","","","","","Fireplaces","E","","","","","","","","","","","","","","","","","LW2035MC-MF","","","",
"255509887763","PXGR373","","Moda Flame","Wall","Stone","","","","","","","","Stone","","Fireplaces","","","","","","","","","","","","","","","","","","LW2035WS-MF","","","",
"255523961739","PXGR376","","Moda Flame","Wall","Stone","","","","","","","","Stone","","Fireplaces","","","","","","","","","","","","","","","","","","LW2050CC-MF","","","",
"265896914911","CUIC10557","Electric","Modern Flames","","","","","","","","Modern","","","","Fireplaces","","","","","","","","","","","","","","","","","","TK-RS36-4530","","","",
"265669416820","TRDMR53248","Electric","Northwest","Wall","","","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","80-BL31-2001","","","",
"255737992697","TRDMR52084","Electric","Northwest","Wall","Glass","","Black","","Wall-Mountable,Adjustable Flame Height,Remote Control","","Modern","","Glass","","Fireplace & Surround","","20.25 in","26 in","26 in","3.5 in","Bedroom,Living Room","","","","","","","","","","31.2 lbs","","80-EF451S","","","",
"265695303992","TRDMR55683","Electric","Northwest","Wall","","","Black","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","80-WSG02-BLACK","","","",
"255513456512","TRDMR53254","Electric","Northwest","Wall","","","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","80-WSG02-NH","","","",
"255534496690","TRDMR58078","","Northwest","Wall","","","Black","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","M029005","","","",
"255728791620","TRDMR58079","Electric","Northwest","","","","Black","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","M029006","","","",
"265897164314","TRDMR58083","Electric","Northwest","Wall","Glass","","Black","","","","","","Glass","","Fireplaces","","","","","","","","","","","","","","","","","","M029010","","","",
"255541626128","TRDMR58089","Electric","Northwest","Wall","","","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","M029016","","","",
"265680067857","PXGR117","Ethanol","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","ER8005","","","",
"265644772558","PXGR397","Ethanol","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","ER8005-EF","","","",
"265697882163","PXGR391","Ethanol","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","ER8005-MF2","","","",
"265665253203","PXGR152","","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2035CC","","","",
"255541684293","PXGR153","","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2035MC","","","",
"255513310625","PXGR150","","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2035WL","","","",
"255513195206","PXGR151","","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2035WS","","","",
"255539176862","PXGR156","","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2050CC","","","",
"265674147581","PXGR486","","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2050CC1","","","",
"265690592381","PXGR154","Electric","Regal Flame","Wall","Glass,Steel","Ventless","Black","Indoor","Recessed,Built-in,in wall,Adjustable Brightness,Adjustable Flame Colors,Adjustable Flame Height,Adjustable Flicker,Automatic Shutoff","","Contemporary","Variable","Glass","Forced Air/Fan","Fireplace & Surround","","21.4in.","50.4 in","","4.9in.","Any Room","","","5200","","1500 W","LW2050WL","","","","39.7 lb","","LW2050WL","","450","",
"265644797138","PXGR485","","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2050WL1","","","",
"265669340491","PXGR419","","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2050WL-EF","","","",
"255534474885","PXGR438","","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2050WL-GL","","","",
"265887850624","PXGR155","","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2050WS","","","",
"255524252473","PXGR484","","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2050WS1","","","",
"255541735528","PXGR488","","Regal Flame","Wall","","Ventless","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","LW2050WS1N","","","",
"255524214944","PXGR143","Electric","Regal Flame","Wall","","Ventless","Black","","","","","3","","","Fireplaces","","","","","","","","","","","","","","","","","","LW5060BK","","","",
"255513196768","CPP6119","","Selkirk","Wall","","","","","","","","2","","","Fireplaces","","","","","","","","Universal","","","","","","","","","","119531","","","",
"255524084082","CPP6168","","Selkirk","Wall","","","","","","","","","","","Fireplaces","A","","","","","","","","","","","","","","","","","3553365","","","",
"265674109515","CUIC11191","","SkyTech","","","","","","Remote Control","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","3002","","","",
"255541862552","CUIC11193","","SkyTech","","","","","","Remote Control","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","5301","","","",
"255728912697","ZX9AWFP001","","Designs-Done-Right","Wall","Stainless Steel","","","Indoor","","","","","Stainless Steel","","Fireplaces","","","","","","","","","","","","","","","","","","DE2523614","","","",
"255725159618","CUIC13212","Gas","Superior","","","","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","F4341","","","",
"255539184148","CUIC13213","Gas","Superior","","","","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","F4342","","","",
"255737702792","CUIC13216","Gas","Superior","","","","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","F4345","","","",
"265884180246","CUIC13217","Gas","Superior","","","","","","","","","","","","Fireplaces","","","","","","","","","","","","","","","","","","F4346","","","",
"255483846390","TRDMR328232","Electric","Trademark","Wall","","","","","","","","","","","Firepits & Outdoor Fireplaces","","","","","","","","","","","","","","","","","","M029001","","","",
"265639815865","TRDMR328233","Electric","Trademark","Wall","","","","","","","","","","","Firepits & Outdoor Fireplaces","","","","","","","","","","","","","","","","","","M029002","","","",
