Item Id,SKU,Brand,Compatible Bike Type,Part Type,Seat Style,Color,Material,Set Includes,Department,Number of Items,Compatible Brand,Country/Region of Manufacture,Item Length,Rail/Clamp Style,Item Width,Item Height,Item Weight,MPN,Model,Custom Bundle,Bundle Description,California Prop 65 Warning,Compatible Model,Manufacturer Warranty,
"254238960909","116809","Diamond Plate","","Does Not Apply","","","","","","","","","","","","","","2pc-Heavy-Duty-Waterproof-PVC-with-Stud","","","","","","",
"264331804193","116923","Extreme","","Does Not Apply","","","","","","","","","","","","","","6pc-Security-Style-Waist-Bags","","","","","","",
