Item Id,SKU,Type,Material,Style,Features,Color,Brand,Room,Number of Panels,Theme,Mounting,Country/Region of Manufacture,Pattern,Item Height,Item Length,Orientation,Department,Item Width,Additional Parts Required,MPN,Model,Item Weight,Custom Bundle,Care Instructions,Customized,Product Line,Bundle Description,California Prop 65 Warning,
"255518120949","ORE2226","Decor","","Shoji","","","Ore Furniture","","3","","","","","","","","","","","R5442","","","","","","","","",
"255513108733","ORE2229","Decor","","Shoji","","","Ore Furniture","","4","","","","","","","","","","","R5442-4","","","","","","","","",
"265665461833","ORE2227","Decor","","Shoji","","","Ore Furniture","","3","","","","","","","","","","","R5443","","","","","","","","",
"265665357019","ORE2230","Decor","","Shoji","","","Ore Furniture","","4","","","","","","","","","","","R5443-4","","","","","","","","",
"255544485916","ORE2219","Decor","","","","","Ore Furniture","","","","","","","","","","","","","R566","","","","","","","","",
"265684713602","ORE2220","Decor","","","","","Ore Furniture","","","","","","","","","","","","","R566-4","","","","","","","","",
"265665396575","ORE2221","Decor","","","","","Ore Furniture","","","","","","Floral","","","","","","","R590-4","","","","","","","","",
"255539175326","ORE2209","Decor","Bamboo","","","","Ore Furniture","","","","","","","","","","","","","R591","","","","","","","","",
"255489109999","ORE2222","Decor","Bamboo","","","","Ore Furniture","","","","","","","","","","","","","R591-4","","","","","","","","",
"265695204172","ORE519","Decor","Walnut","","","","ORE INTERNATIONAL","","","","","","","","","","","","","N1032-4-WALNUT","","","","","","","","",
"255539080040","ORE869","Decor","Bamboo","","","","ORE INTERNATIONAL","","3","","","","","","","","","","","NYBB-042-3","","","","","","","","",
"265695167417","ORE870","Decor","Bamboo","","","","ORE INTERNATIONAL","","3","","","","","","","","","","","NYBP-084-3","","","","","","","","",
"265690547069","ORE872","Decor","Bamboo","","","","ORE INTERNATIONAL","","","","","","","","","","","","","NYBP-085-3","","","","","","","","",
"255523965524","ORE102","Decor","","","","Black","ORE INTERNATIONAL","","","","","","","","","","","","","R530","","","","","","","","",
"255518049282","ORE103","Decor","","","","Black","ORE INTERNATIONAL","","","","","","","","","","","","","R530-4","","","","","","","","",
"255513372349","ORE104","Decor","","","","","ORE INTERNATIONAL","","","","","","","","","","","","","R531","","","","","","","","",
"255513535654","ORE105","Decor","","","","","ORE INTERNATIONAL","","","","","","","","","","","","","R531-4","","","","","","","","",
"255513197471","ORE108","Decor","","","","","ORE INTERNATIONAL","","","","","","","","","","","","","R5421","","","","","","","","",
"265690793808","ORE325","Decor","","","","","ORE INTERNATIONAL","","","","","","","","","","","","","R5428-4","","","","","","","","",
"255509744369","ORE109","Decor","","","","Black","ORE INTERNATIONAL","","","","","","","","","","","","","R542BK","","","","","","","","",
"265669028517","ORE110","Decor","","","","","ORE INTERNATIONAL","","","","","","","","","","","","","R542CH","","","","","","","","",
"255513042572","ORE111","Decor","","","","","ORE INTERNATIONAL","","","","","","","","","","","","","R542NA","","","","","","","","",
"265668959359","ORE424","Decor","","Shoji","","Black","ORE INTERNATIONAL","","4","","","","","","","","","","","R5441-4","","","","","","","","",
"255513314572","ORE408","Decor","","Shoji","","Black","ORE INTERNATIONAL","","3","","","","","","","","","","","R5441","","","","","","","","",
"265669126410","ORE425","Decor","","Shoji","","","ORE INTERNATIONAL","","4","","","","","","","","","","","R5442-4","","","","","","","","",
