Item Id,SKU,Type,Manufacturer,Lighting Technology,Brand,Product Line,Voltage,Suitable For,Color,Control Style,Light Color,Power Source,Bulb Shape Code,Energy Star,Mounting,Material,Amperage,IP Rating,Power Consumption,Item Height,Item Width,Lumens,Item Diameter,Item Length,Country/Region of Manufacture,Smart Home Protocol,LED Chip Code,MPN,Model,EC Range,Custom Bundle,Bundle Description,Assembly Required,Bulb Life Hours,California Prop 65 Warning,Color Temperature,LED String/Strip Type,Labels & Certifications,Manufacturer Warranty,Required Tools,Smart Home Compatibility,
"265597107377","EZP528","Outdoors","","","EZ Products","","","","","","","","","","","","","","","","","","","","","","","EZP-015","","","","","","","","","","","","","",
"255464832511","EZP475","Outdoors","","","EZ Products","","","","","","","","","","","","","","","","","","","","","","","EZP-474","","","","","","","","","","","","","",
"255464825733","EZP750","Outdoors","","","EZ Products","","","","","","","","","","","","","","","","","","","","","","","EZP-641","","","","","","","","","","","","","",
"255464801977","EZP729","Outdoors","","","EZ Products","","","","","","","","","","","","","","","","","","","","","","","EZP-793","","","","","","","","","","","","","",
"265623448509","PLFX4437","Outdoors","","","GL INTERNATIONAL","","","","","","","","","","","","","","","","","","","","","","","70-1840OV-BLK-160","","","","","","","","","","","","","",
"255464810826","CNDRL8790","Outdoors","","","Go Main Access","","","","","","","","","","","Resin","","","","","","","","","","","","200750T","","","","","","","","","","","","","",
"255464848515","CNDRL9197","Outdoors","","","Go Main Access","","","","","","","","","","","","","","","","","","","","","","","444301","","","","","","","","","","","","","",
"265623463649","CNDRL9145","Outdoors","","","Hinspergers","","","","","","","","","","","","","","","","","","","","","","","AK2141OV4","","","","","","","","","","","","","",
"255464808076","SPPRT13795","Outdoors","","","HydroQuip","","","","","","","","","","","","","","","","","","","","","","","26-C63-050-0G00","","","","","","","","","","","","","",
"255464823706","BAQP78841","Outdoors","","","Intermatic USD","","","","","","","","","","","","","","","","","","","","","","","T21004R","","","","","","","","","","","","","",
"265623458915","ZX9SPPRT15295","Outdoors","","","Bufonadas","","","","Beige","","Beige","","","","","","","","","","","","","","","","","BU1887550","","","","","","","","","","","","","",
"265597094965","CNDRL732","Outdoors","","","King Technology","","","","","","","","","","","","","","","","","","","","","","","01034613","","","","","","","","","","","","","",
"255464833647","PLMT007","Outdoors","","","Poolmats","","","","","","","","","","","","","","","","","","","","","","","67B00-00007","","","","","","","","","","","","","",
"255464810117","PLMT008","Outdoors","","","Poolmats","","","","","","","","","","","","","","","","","","","","","","","67B00-00008","","","","","","","","","","","","","",
"265623479999","PLMT009","Outdoors","","","Poolmats","","","","","","","","","","","","","","","","","","","","","","","67B00-00009","","","","","","","","","","","","","",
"265623480756","PLMT1125","Outdoors","","","Lamatek","","","","","","","","","","","","","","","","","","","","","","","67B00-00130","","","","","","","","","","","","","",
"255464812645","PLMT1139","Outdoors","","","Lamatek","","","","","","","","","","","","","","","","","","","","","","","67B00-0043N","","","","","","","","","","","","","",
"265623486030","PLMT1146","Outdoors","","","Lamatek","","","","","","","","","","","","","","","","","","","","","","","67B00-0043U","","","","","","","","","","","","","",
"265623465509","PLMT1149","Outdoors","","","Lamatek","","","","","","","","","","","","","","","","","","","","","","","67B00-0043X","","","","","","","","","","","","","",
"255464819867","PLMT1150","Outdoors","","","Lamatek","","","","","","","","","","","","","","","","","","","","","","","67B00-0043Y","","","","","","","","","","","","","",
"265623453388","PLFX7716","Outdoors","","","LaMotte","","","","","","","","","","","","","","","","","","","","","","","2084","","","","","","","","","","","","","",
"255464842960","BAQP77640","Outdoors","","","Latham Pool","","","","White","","White","","","","","","","","","","","","","","","","","CAWST1440003","","","","","","","","","","","","","",
"265623454238","SPPRT14081","Outdoors","","","Master Spa","","","","","","","","","","","","","","","","","","","","","","","X310190","","","","","","","","","","","","","",
"255464821113","PLFX1402","Outdoors","","","Midwest Canvas","","","","Black","","Black","","","","","","","","","","","","","","","","","BT0028","","","","","","","","","","","","","",
"265623447330","PLFX547","Outdoors","","","Molded Products","","","","","","","","","","","","","","","","","","","","","","","25506-320-000","","","","","","","","","","","","","",
"265623454558","PLFX548","Outdoors","","","Molded Products","","","","Gray","","Gray","","","","","PVC","","","","","","","","","","","","25506-321-000","","","","","","","","","","","","","",
"265623446350","PLFX665","Outdoors","","","Molded Products","","","","","","","","","","","","","","","","","","","","","","","25577-339-000","","","","","","","","","","","","","",
"265623486318","PLFX666","Outdoors","","","Molded Products","","","","","","","","","","","","","","","","","","","","","","","25577-420-000","","","","","","","","","","","","","",
"265623461538","CNDRL9228","Outdoors","","","Natural Chemistry","","","","","","","","","","","","","","","","","","","","","","","1110012","","","","","","","","","","","","","",
"255464855302","BAQP48784","Outdoors","","","Natural Chemistry","","","","","","","","","","","","","","","","","","","","","","","NC20311","","","","","","","","","","","","","",
"265623478342","BAQP59239","Outdoors","","","Natural Chemistry","","","","","","","","","","","","","","","","","","","","","","","NC20520","","","","","","","","","","","","","",
"265623452098","BAQP123977","Outdoors","","","NC Brands","","","","","","","","","","","","","","","","","","","","","","","NC04206","","","","","","","","","","","","","",
"265623482555","JTLNSR2947","Outdoors","","","OREQ","","","","","","","","","","","","","","","","","","","","","","","DH4200","","","","","","","","","","","","","",
