Item Id,SKU,Connector A,Connector B,Type,Brand,Cable Length,Connection Split/Duplication,Color,Features,Compatible Brand,Compatible Model,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Country/Region of Manufacture,Item Height,Item Length,Item Width,Manufacturer Warranty,
"254528493551","115623","","","Does Not Apply","Nortel","","","","","","","NT7B64GA","","","","","","","","",
"255044948152","144495","","","Wall Plate","Tripp Lite","","","White","","","","N042001WH","","","","","","","","",
