Item Id,SKU,Sensor Type,Type,Lighting Technology,Installation Area,Brand,Power Source,Features,Number of Lights,Power Consumption,Light Color,Voltage,Number of Settings,Color,Material,IP Rating,Smart Home Compatibility,Control Style,Finish,Mounting,Year Manufactured,Energy Star,Bulb Shape Code,Smart Home Protocol,Item Diameter,Amperage,Lumens,Country/Region of Manufacture,Assembly Required,Manufacturer Warranty,LED Chip Code,Labels & Certifications,MPN,EC Range,Model,Custom Bundle,California Prop 65 Warning,Bulb Life Hours,Bundle Description,Item Height,Item Length,Item Weight,Item Width,Required Tools,
"265603531304","VXCL3355","Light","Outdoor Lighting","","","Vaxcel International","","","5","","","","5","","","","","","","","","","","","","","","","","","","","H0185","","","","","","","","","","","",
"255444509483","VXCL3415","Light","Outdoor Lighting","","","Vaxcel International","","","4","","","","4","","","","","","","","","","","","","","","","","","","","P0234","","","","","","","","","","","",
"255444473920","VXCL3353","Light","Outdoor Lighting","","","Vaxcel International","","","6","","","","6","","","","","","","","","","","","","","","","","","","","P0237","","","","","","","","","","","",
"265603602150","VXCL3354","Light","Outdoor Lighting","","","Vaxcel International","","","6","","","","6","","","","","","Brass","","","","","","","","","","","","","","P0238","","","","","","","","","","","",
"265603620922","VXCL3296","Light","Outdoor Lighting","","Outdoor","Vaxcel International","","","","","","","","","","","","","","","","","","","","","","","","","","","T0347","","","","","","","","","","","",
"265603620350","VXCL3341","Light","Outdoor Lighting","","Outdoor","Vaxcel International","","","6","","","","6","","","","","","","","","","","","","","","","","","","","T0366","","","","","","","","","","","",
"265603524949","VXCL3428","Light","Outdoor Lighting","","Outdoor","Vaxcel International","","","6","","","","6","","","","","","","","","","","","","","","","","","","","T0384","","","","","","","","","","","",
"265603529559","VXCL3430","","Outdoor Lighting","","Outdoor","Vaxcel International","","","12","","","","","","","","","","","","","","","","","","","","","","","","T0388","","","","","","","","","","","",
"255444398019","VXCL3431","Light","Outdoor Lighting","","Outdoor","Vaxcel International","","","6","","","","6","","","","","","","","","","","","","","","","","","","","T0389","","","","","","","","","","","",
"255444521207","VXCL3419","Light","Outdoor Lighting","LED","Outdoor","Vaxcel International","","","","","","","","","","","","","","","","","","","","","","","","","","","T0398","","","","","","","","","","","",
"265603512900","VXCL3606","","Outdoor Lighting","","Outdoor","Vaxcel International","","","12","","","","","","","","","","","","","","","","","","","","","","","","T0472","","","","","","","","","","","",
"265603485221","VXCL3369","Light","Outdoor Lighting","","","Vaxcel International","","Swing Arm","","","","","","","","","","","","","","","","","","","","","","","","","W0259","","","","","","","","","","","",
"255444507250","VXCL3370","","Outdoor Lighting","","","Vaxcel International","","Swing Arm","","","","","","","","","","","","","","","","","","","","","","","","","W0260","","","","","","","","","","","",
"255444472093","VXCL3363","Light","Outdoor Lighting","","","Vaxcel International","","","4","","","","4","","","","","","","","","","","","","","","","","","","","W0271","","","","","","","","","","","",
