Item Id,SKU,Brand,Color,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"265731561293","SWTM23815","Schwartz Sports Memorabilia","White","","","","","","",
"255576746552","SWTM24381","Schwartz Sports Memorabilia","White","","","","","","",
