Item Id,SKU,Color,Product Line,Brand,Type,Handmade,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"265735942160","NYGL1628","","","FLOMO","Arts & Crafts","","CR2137MX","","","","","","",
"255437775646","ACME034549","Black","","Handy Art","Arts & Crafts","","156207","","","","","","",
