Item Id,SKU,Type,Brand,To Fit,Material,Head Type,Compatible Brand,Features,Maximum Height,Country/Region of Manufacture,Maximum Load,Model,Compatible Series,MPN,Custom Bundle,Bundle Description,Item Weight,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"254086549392","100053","Tripod","Generic","Camera","","","","Adjustable Legs","","","","Does Not Apply","","Does Not Apply","","","","","","","","",
"265621908784","SPRCH23231","Tripod","Quartet","Telescope","Aluminum","","","","66 in","","","QRT51E","","QRT51E,51E","","","5lb.","","","","","",
