Item Id,SKU,Type,Brand,Suitable For,Material,Style,Shape,Color,Theme,Size,Features,Mounting,Country/Region of Manufacture,Finish,Room,Pattern,Personalize,Additional Parts Required,Item Weight,Item Length,Item Width,Antique,Item Height,MPN,Model,Custom Bundle,Customized,Care Instructions,Bundle Description,California Prop 65 Warning,Personalization Instructions,
"255826665255","","Lantern","Unbranded","Flameless/LED Candle","Wood","Antique","lantern","Gray","Rustic","Large","Woven","Free Standing,Hanging","China","Rustic","Entryway,Foyer,Living Room,Outdoor,Patio,Porch","woven","No","No","2 lb","10 in","10 in","No","13 in","Large-Rustic-Lamp","Rustic Wooden Lantern","No","No","","","","",
"255827514015","308428","Lantern","Unbranded","Flameless/LED Candle","Wood","Antique","lantern","Gray","Christmas","Large","Woven","Free Standing,Hanging","China","Rustic","Entryway,Foyer,Living Room,Outdoor,Patio,Porch","woven","No","No","2 lb","10 in","10 in","No","13 in","Large-Rustic-Lamp","Rustic Wooden Lantern","No","No","","","","",
