Item Id,SKU,Year,Player,Team,Original/Reproduction,Officially Licensed,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,Event/Tournament,Vintage,
"265731549103","CASY127554","1998","","","","","","","","","","",
"255576759366","SWTM25705","1989","","","","","","","","","","",
