Item Id,SKU,Original/Reproduction,Color,Brand,Type of Advertising,Date of Creation,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Theme,
"265621652611","KEHE1915","","","COLMANS OF NORWICH","","","","","","","",
"265621656829","SPDSP286","","","Swad","","","","","","","",
"255462041765","AZERTY22309","","","Packaging Dynamics","","","","","","","",
