Item Id,SKU,Type,Ports,Brand,Compatible Brand,Compatible Product Line,Compatible Laptop Size,Features,Color,Compatible Model,Cooling Type,Material,Manufacturer Warranty,MPN,Model,Custom Bundle,Bundle Description,California Prop 65 Warning,Country/Region of Manufacture,Item Height,Item Length,Item Width,
"264739033705","172203","Laptop Docking Stations","HDMI","Kensington","For Microsoft","For Microsoft Surface","","","Silver","Surface Pro","","","","K62917NA","SD7000","","","","","","","",
"255138044903","154011","Desk Stand","Audio Out,DisplayPort,USB 1.0/1.1,HDMI,Ethernet (RJ-45),USB 2.0","Lenovo","For Lenovo","For Lenovo ThinkPad","","","","T480 T480S T580 P52s X280 L480 L580 X1 Carbon 6th","","","","40AJ0135US","40AJ0135US","","","Yes","","","","",
