Item Id,SKU,Type,Main Ingredient,Food Specifications,Brand,Product,Packaging,Personalize,Country/Region of Manufacture,Number in Pack,Labels & Certifications,Allergens,Calories per Serving,Expiration Date,MPN,Number of Servings,Serving Size,Bundle Description,California Prop 65 Warning,Calories per 100 g/mL,Course,Custom Bundle,Food Aisle,Item Weight,Product Name,Regional Cuisine/Region,Style,Personalization Instructions,
"265702047049","307678","Jelly","Concord Grapes","","BERRYHILL","Jam & Preserve","Jar","","","","","","","","","","","","","","","","Pantry","","","","","",
"265702034034","307678","Peanut Butter","Peanuts","","Good & Gather","Creamy Peanut Butter","Jar","","","1","","Peanuts","","Nov 2022","","1","","","","","","","Pantry","","Creamy Peanut Butter","","","",
