Item Id,SKU,Type,Brand,Blade Material,Material,Features,Color,Blade Length,Blade Width,Country/Region of Manufacture,Handle Size,Item Height,Item Length,Application,Item Width,Manufacturer Warranty,MPN,Model,California Prop 65 Warning,Custom Bundle,Bundle Description,Item Weight,
"255483681690","ZX9BCI1013712","Lawn & Landscaping","Next2Nature","","","","","","","","","","","","","","NE187692","","","","","",
"265908755106","ATW01GLHS13","Lawn & Landscaping","King Of Spades","Steel","Steel","","","","","","","","","","","","W01G LHS13","","","","","",
"265639573448","BCI1013712","Lawn & Landscaping","The Ames Company Snow P","","","","","","","","","","","","","","1603072","","","","","",
"265634303619","ACHR161490","Lawn & Landscaping","Yeoman","Steel","Steel","","","","","","","","","","","","7164379","","","","","",
