Item Id,SKU,Brand,Filtration Technology,Model,Number of Cleaning Stages,Application,Features,Type,Color,Number of Speeds,Power Source,Contaminants Captured,Voltage,Room,Control Style,Year Manufactured,Mounting,Filter Life,Smart Home Protocol,Smart Home Compatibility,Coverage,Humidification Method,Country/Region of Manufacture,Power,Material,Item Depth,Clean Air Delivery Rating (CADR),Sensor Technology,Item Width,Manufacturer Warranty,Finish,Item Weight,Item Height,Timer Control,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Operating Sound Rating,
"265621679456","ACHR153905","Precisionaire","","","1","","","Air Quality","","1","","","","","","","","","","","","","","","","","","","","","","","","","4268967","","","","",
"265731533005","ZX9QNRT011","Refuah","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","RE1614217","","","","",
"255576702449","QNRT014","Queenaire","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","QTL1800","","","","",
"265731450260","QNRT011","Queenaire","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","QTT24-II","","","","",
"265731453164","QNRT004","Rainbowair","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","5200-II","","","","",
"255576673783","QNRT003","Rainbowair","","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","5210-II","","","","",
"265621728941","NWGG1671","Rosewill","True HEPA","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","RHAP-20002","","","","",
"255576697235","ALMO2276","SHARP","","Sharp FP-A80UW","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","FP-A80UW","","","","",
"265621729153","ALMO13937","SHARP","True HEPA","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","FP-F30UH","","","","",
"255576700835","ALMO13939","SHARP","True HEPA","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","FX-J80UW","","","","",
"255463028350","ALMO13938","SHARP","True HEPA","","","","","Air Quality","","","","","","","","","","","","","","","","","","","","","","","","","","","FP-K50UW","","","","",
