Item Id,SKU,Type,Brand,Style,Features,Color,Time Period Manufactured,Finish,Country/Region of Manufacture,Material,Movement,Frame Material,Character,Theme,Franchise,Year Manufactured,Power Source,Vintage,Original/Reproduction,Antique,Display Type,Signed,Engraved,Shape,Department,Origin,Chime Sequence,Era,Number Type,Room,Model,Autograph Authentication,Autograph Authentication Number,Autograph Format,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,Signed by,Handmade,Pattern,
"265597102154","AXNRT075","Cuckoo Clocks","Alexander Taron","","Battery-Operated","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"255437754610","AXNRT028","Cuckoo Clocks","Alexander Taron","","","","","","","","","","Key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
