Item Id,SKU,Color,Brand,Type of Advertising,Date of Creation,Original/Reproduction,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"265597095761","ACHR14213","","Durhams","","","","","","","",
"255463021341","KEHE1662","","King Arthur Flour","","","","","","","",
