Item Id,SKU,Medium,Bristle Material,Brush Shape,Brand,Size,Handle Type,Handmade,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Model,
"255580936875","GDNBR2806","","","","Gordon Brush","4","","","R10063","","","","","","","",
"255581033918","GDNBR2825","","Synthetic","","Gordon Brush","12","","","R11057","","","","","","","",
"255581124590","GDNBR2827","","Synthetic","","Gordon Brush","4","","","R11063","","","","","","","",
"255581219194","GDNBR2833","","","","Gordon Brush","2","","","R12033","","","","","China","","",
"265735951097","GDNBR2839","","","","Gordon Brush","12","","","R12053","","","","","China","","",
"265735928520","GDNBR2841","","","","Gordon Brush","4","","","R12063","","","","","China","","",
"265735687843","GDNBR2858","","Red Sable","Round","Gordon Brush","1","","","R18011","","","","","","","",
"265735850449","GDNBR2859","","Red Sable","Round","Gordon Brush","2","","","R18021","","","","","","","",
"255581107009","GDNBR2860","","Red Sable","Flat","Gordon Brush","2","","","R18022","","","","","","","",
"265735760396","GDNBR2861","","Red Sable","Round","Gordon Brush","4","","","R18031","","","","","","","",
"255581280630","GDNBR2862","","Red Sable","Flat","Gordon Brush","4","","","R18032","","","","","","","",
"265735756016","GDNBR2863","","Red Sable","Flat","Gordon Brush","6","","","R18042","","","","","","","",
"265735729600","GDNBR2864","","Nylon","Flat","Gordon Brush","1","","","R18054","","","","","","","",
"265735747286","GDNBR2865","","Nylon","Flat","Gordon Brush","8","","","R18064","","","","","","","",
"255580946256","GDNBR2866","","Camel","Flat","Gordon Brush","1","","","R18073","","","","","","","",
"265735930302","GDNBR2867","","Nylon","Flat","Gordon Brush","1","","","R18074","","","","","","","",
"265735754671","GDNBR2868","","Camel","Flat","Gordon Brush","4","","","R18083","","","","","","","",
