Item Id,SKU,Brand,Type,Outer Shell Material,Size,Style,Size Type,Fabric Type,Theme,Color,Accents,Features,Lining Material,Pattern,Department,Insulation Material,Jacket/Coat Length,Season,Character,Closure,Model,Occasion,Country/Region of Manufacture,Sleeve Length,Fit,Vintage,Personalize,Handmade,Garment Care,California Prop 65 Warning,MPN,Personalization Instructions,
"255813743728","308437","Unbranded","Coat","Polyester","Variants","Overcoat","Regular","Sherpa,Faux Fur,","cow","white brown","Fur Trim","Pockets","Sherpa","cow animal print","Women","Polyester","Short","Autumn","Cowgirl","Zip","country western sherpa","Other,Travel,Back To The Basics","China","Long Sleeve","Classic","No","No","No","Hand Wash","","cow-print-jacket-brown","",
"265958563236","308451","Gigio","Jacket","Polyester","Variants","3-in-1 Jacket","Regular","faux fur","Leopard","Brown Cream","Fur Trim","Pockets","Polyester","Leopard","Women","Polyester","Short","Autumn","leopard","Zip","animal print jackets","Casual","","Long Sleeve","Classic","No","No","No","Dry Clean Only","","leopard-print-jacket","",
"266023112180","304822","Unbranded","Coat","Polyester","Variants","Overcoat","Regular","faux fur","Leopard","Brown","Fur Trim","Pockets","Polyester","Leopard","Women","Polyester","Short","Autumn","leopard","Open","animal print jackets","Other,Travel,Back To The Basics","China","Long Sleeve","Classic","No","No","No","Hand Wash","","leopard-print-jacket","",
"265931250399","304822","Unbranded","Coat","Polyester","Variants","Overcoat","Regular","faux fur","Leopard","Brown","Fur Trim","Pockets","Polyester","Leopard","Women","Polyester","Short","Autumn","leopard","Open Front","animal print jackets","Other,Travel,Back To The Basics","China","Long Sleeve","Classic","No","No","No","Hand Wash","","leopard-print-jacket","",
"265416777230","307945","Unbranded","Coat","Polyester",,"Trench Coat",,"Flannel","Fashion Coat","Mustard","slim fashion coat","Collared","Polyester","Solid","Women","Polyester","Mid-Length","Fall,Spring,Winter","fashion coat","open front","","Formal","","","","","","","","","","",
"265416777230","307946",,,,"M",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265416777230","307947",,,,"L",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265416777230","307948",,,,"XL",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265416777230","307949",,,,"2XL",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"254854325222","304835","Puffer Jacket","Jacket","Polyester",,"Winter Short Coat","Regular","Microfiber","Purple Puffer Jacket","Purple","puffer","Full Zip,Lightweight,Padded","Polyester","Solid","Women","Polyester","Short","Fall,Spring,Winter","Puffer Jacket","Zip","Women's Puffer Jacket","Casual","","","Regular","No","","","","","Puffer-Jacket-for-Women","",
"254854325222","304838",,,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254854325222","304837",,,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254854325222","304836",,,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264879831802","304468","Generic","Jacket","Polyester",,"Hooded Jacket / Vest with side pockets","Plus Size","Down","Outdoor","Dusty Rose","Hoodie","Bodywarmer,Hooded","Cotton","Solid","Women","Down","Mid-Length","Fall,Spring,Winter","Plus Size","Open Front","","Casual","","","","No","","","","","Women's-Plus-Size-Hooded-Jacket-Vest","",
"264879831802","304471",,,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264879831802","304470",,,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264879831802","304469",,,,"1XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255834753542","308586","Unbranded","Jacket","Polyester","2XL","sherpa jacket","Regular","Faux fur","Leopard Print","Brown","pockets","Collared,Pockets","Polyester","Leopard Print","Women","Polyester","Short","Fall,Spring,Winter","leopard print teddy","Button","leopard-print-teddy-brown","Business,Casual,Formal,Travel,Workwear","China","Long Sleeve","Classic","No","No","No","Dry Clean Only","","leopard-print-teddy-brown","",
"255809677441","308586","BLUEVELVET","Jacket","sherpa","Variants","Teddy Jacket","Regular","sherpa","Leopard","Brown","Fur Trim","Pockets","Polyester","Leopard","Women","Polyester","Short","Spring","leopard","Button","animal print jackets","Business,Casual,Formal,Party/Cocktail,Travel","China","Long Sleeve","Classic","No","No","No","Hand Wash","","leopard-print-jacket","",
"265416741372","307941","Unbranded","Coat","Polyester",,"Trench Coat",,"Microfiber","Outdoor","Navy Blue","Button","Collared","Polyester","Solid","Women","Polyester","Mid-Length","Winter","ladies coat","Button","","Formal","","","","No","","","","","","",
"265416741372","307942",,,,"M",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265416741372","307943",,,,"L",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265416741372","307944",,,,"XL",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"265958164832","308447","Lush","Coat","Polyester","Variants","Overcoat","Regular","faux fur","Leopard","Brown","Fur Trim","Pockets","Polyester","Leopard","Women","Polyester","Short","Autumn","leopard","Button","animal print jackets","Other,Travel,Back To The Basics","","Long Sleeve","Classic","No","No","No","Hand Wash","","leopard-print-coat","",
"255816039793","308447","Lush","Coat","Polyester","Variants","Overcoat","Regular","faux fur","Leopard","Brown","Fur Trim","Pockets","Polyester","Leopard","Women","Polyester","Mid-Length","Autumn","leopard","Button","leopard print coat","Winter Coat","Unknown","Long Sleeve","Classic","No","No","No","Hand Wash","","leopard-print-coat","",
"255232181441","307936","Unbranded","Coat","Polyester Blend",,"Long Coat",,"worsted","women's coat","Green","Button","Belted,Collared","Polyester","Solid","Women","Polyester","Mid-Length","Winter","Women's Coat","Button","","Formal","","","","","","","","","","",
"255232181441","307937",,,,"XL",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"255232181441","307938",,,,"2XL",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
"255232181441","307939",,,,"3XL",,"Regular",,,,,,,,,,,,,,,,,,,,,,,,,,
