Item Id,SKU,Brand,Material,Color,Style,Type,Room,Occasion,Theme,Character Family,Character,Department,Country/Region of Manufacture,Origin,Orientation,Vintage,MPN,Personalize,Additional Parts Required,Battery Type,Bundle Description,California Prop 65 Warning,Care Instructions,Custom Bundle,Customized,Item Height,Item Length,Item Weight,Item Width,Model,Product Line,Personalization Instructions,
"265883869104","OCNTR41850","HomeRoots","","Black","","Home Decor","","","","","","","","","","","358142","","","","","","","","","","","","","","","",
"265897045806","OCNTR41849","HomeRoots","","Multicolor","","Home Decor","","","","","","","","","","","358143","","","","","","","","","","","","","","","",
"255728716618","OCNTR38531","HomeRoots","","","","Home Decor","","","","","","","","","","","364218","","","","","","","","","","","","","","","",
"255728615899","OCNTR38527","HomeRoots","","","","Home Decor","","","","","","","","","","","364223","","","","","","","","","","","","","","","",
"255737730531","OCNTR38523","HomeRoots","","","","Home Decor","","","","","","","","","","","364227","","","","","","","","","","","","","","","",
"255728737840","OCNTR38503","HomeRoots","","","","Home Decor","","","","","","","","","","","364264","","","","","","","","","","","","","","","",
"265887868183","OCNTR38072","HomeRoots","Wood","","","Home Decor","","","Nautical","","","","","","","","364312","","","","","","","","","","","","","","","",
"255728599467","OCNTR38062","HomeRoots","Wood","","","Home Decor","","","","","","","","","","","364326","","","","","","","","","","","","","","","",
"255737943510","OCNTR38056","HomeRoots","","","","Home Decor","","","","","","","","","","","364344","","","","","","","","","","","","","","","",
"265897081379","OCNTR38039","HomeRoots","","","","Home Decor","","","","","","","","","","","364365","","","","","","","","","","","","","","","",
"255737811394","OCNTR38038","HomeRoots","","","","Home Decor","","","","","","","","","","","364366","","","","","","","","","","","","","","","",
"265887689199","OCNTR38037","HomeRoots","","","","Home Decor","","","","","","","","","","","364367","","","","","","","","","","","","","","","",
"255728932374","OCNTR38034","HomeRoots","","","","Home Decor","","","","","","","","","","","364371","","","","","","","","","","","","","","","",
"265887849989","OCNTR38032","HomeRoots","","Brown","","Home Decor","","","","","","","","","","","364373","","","","","","","","","","","","","","","",
"255725309490","OCNTR42152","HomeRoots","Glass","Multicolor","","Home Decor","","","","","","","","","","","376111","","","","","","","","","","","","","","","",
"255728727671","ZX9CNGR4542","H2H","","","","Storage","","","","","","","","","","","H22546593","","","","","","","","","","","","","","","",
"265639773500","TRVAL118514","J&J Global","","Black","","Furniture & Decor","","","","","L","","","","","","244207","","","","","","","","","","","","","","","",
"265679954083","KLKL1043","Kalalou","","","","Home Decor","","","","","","","","","","","A6129","","","","","","","","","","","","","","","",
"255513266016","KLKL990","Kalalou","","","","Home Decor","","","","","","","","","","","CAR1550","","","","","","","","","","","","","","","",
"255518120346","KLKL485","Kalalou","Metal","","","Storage","","","","","","","","","","","CBB1015","","","","","","","","","","","","","","","",
"265695274764","KLKL191","Kalalou","Ceramic","","","Home Decor","","","","","","","","","","","CHG2100","","","","","","","","","","","","","","","",
"265679898079","KLKL647","Kalalou","Metal","","","Storage","","","","","","","","","","","CLL2257","","","","","","","","","","","","","","","",
"265697873884","KLKL218","Kalalou","Canvas","","","Home Decor","","","","","","","","","","","CQ6804","","","","","","","","","","","","","","","",
"255541657856","KLKL864","Kalalou","Metal","","","Storage","","","","","","","","","","","NMCC1009","","","","","","","","","","","","","","","",
