Item Id,SKU,Fuel Type,Brand,Type,Material,Suitable For,Features,Color,Energy Star,Style,Room,Year Manufactured,Assembly Required,BTU Heating Rating,Ventilation System,Smart Home Protocol,Smart Home Compatibility,Item Depth,Item Length,Item Width,Heating Technology,Item Height,Item Weight,Model,Country/Region of Manufacture,Custom Bundle,Bundle Description,EC Range,MPN,California Prop 65 Warning,Coverage,Finish,Mounting,Number of Settings,Orientation,Power,
"265665510703","RMHDRL459","","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","FPK-OBRSS-BK1-24-LP","","","","","","","",
"255539004418","RMHDRL460","Gas","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","FPK-OBRSS-BK1-24-NG","","","","","","","",
"255524020962","RMHDRL461","","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","FPK-OBRSS-BK1-30-LP","","","","","","","",
"265695245536","RMHDRL462","Gas","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","FPK-OBRSS-BK1-30-NG","","","","","","","",
"265697908183","TRT296","","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","Ring","","","","","","","","","","","","FPK-OBRSS-BK3P-18LP","","","","","","","",
"255524228999","TRT295","Gas","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","Ring","","","","","","","","","","","","FPK-OBRSS-BK3P-18NG","","","","","","","",
"255528983023","TRT298","","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","Ring","","","","","","","","","","","","FPK-OBRSS-BK3P-24LP","","","","","","","",
"265680195063","TRT297","Gas","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","Ring","","","","","","","","","","","","FPK-OBRSS-BK3P-24NG","","","","","","","",
"265668924530","TRT300","","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","Ring","","","","","","","","","","","","FPK-OBRSS-BK3P-30LP","","","","","","","",
"255489074143","TRT299","Gas","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","Ring","","","","","","","","","","","","FPK-OBRSS-BK3P-30NG","","","","","","","",
"255513163697","TRT302","","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","Ring","","","","","","","","","","","","FPK-OBRSS-BK3P-36LP","","","","","","","",
"255539107838","TRT301","Gas","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","Ring","","","","","","","","","","","","FPK-OBRSS-BK3P-36NG","","","","","","","",
"255534610000","RMHDRL438","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2BB-BK1-18-LP","","","","","","","",
"255518115292","RMHDRL601","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2BB-BK1-18-NG","","","","","","","",
"265897187014","RMHDRL602","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2BB-BK1-24-LP","","","","","","","",
"265887823012","RMHDRL603","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2BB-BK1-24-NG","","","","","","","",
"265674051966","RMHDRL604","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2BB-BK1-30-LP","","","","","","","",
"265669431362","RMHDRL605","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2BB-BK1-30-NG","","","","","","","",
"255513248542","RMHDRL606","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2BB-BK2-18-LP","","","","","","","",
"265695223945","RMHDRL607","Gas","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2BB-BK2-18-NG","","","","","","","",
"265883991213","RMHDRL608","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2BB-BK2-24-LP","","","","","","","",
"265883894007","RMHDRL609","Gas","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2BB-BK2-24-NG","","","","","","","",
"265698056955","RMHDRL610","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2BB-BK2-30-LP","","","","","","","",
"255528959811","RMHDRL611","Gas","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2BB-BK2-30-NG","","","","","","","",
"265684576478","RMHDRL596","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2-BK2-24-LP","","","","","","","",
"255513447918","RMHDRL598","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2-BK2-30-LP","","","","","","","",
"255534503826","RMHDRL599","Gas","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB2-BK2-30-NG","","","","","","","",
"265684848823","RMHDRL622","","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","OB2SS-BK1-36-LP","","","","","","","",
"265669232711","RMHDRL623","Gas","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","OB2SS-BK1-36-NG","","","","","","","",
"255513459089","RMHDRL630","","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","OB2SS-BK2-36-LP","","","","","","","",
"255529055240","RMHDRL631","Gas","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","OB2SS-BK2-36-NG","","","","","","","",
"265684773370","RMHDRL636","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB3-BK1-18-LP","","","","","","","",
"255509906101","RMHDRL637","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB3-BK1-18-NG","","","","","","","",
"265669062342","RMHDRL638","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB3-BK1-24-LP","","","","","","","",
"255518034395","RMHDRL639","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB3-BK1-24-NG","","","","","","","",
"255528978250","RMHDRL640","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB3-BK1-30-LP","","","","","","","",
"265679935116","RMHDRL641","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB3-BK1-30-NG","","","","","","","",
"265695287901","RMHDRL644","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB3-BK2-18-LP","","","","","","","",
"265684775634","RMHDRL646","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB3-BK2-24-LP","","","","","","","",
"255539220197","RMHDRL647","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB3-BK2-24-NG","","","","","","","",
"255534648174","RMHDRL648","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB3-BK2-30-LP","","","","","","","",
"255528779364","RMHDRL649","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB3-BK2-30-NG","","","","","","","",
"265897002147","RMHDRL651","","Tretco","Fireplaces","","","","","","","","","","","","","","","","","","","","","","","","","OB3-BK2-36-NG","","","","","","","",
"265665493447","RMHDRL671","","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","OB4SS-BK1-18-LP","","","","","","","",
"265674184026","RMHDRL672","","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","OB4SS-BK1-18-NG","","","","","","","",
"265680040601","RMHDRL673","","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","OB4SS-BK1-24-LP","","","","","","","",
"265680019900","RMHDRL674","","Tretco","Fireplaces","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","OB4SS-BK1-24-NG","","","","","","","",
