Item Id,SKU,Type,Brand,Scent,Features,Shape,Size,Theme,Color,Material,Number in Pack,Style,Power Source,Room,Country/Region of Manufacture,Personalize,Item Length,Battery Type,Item Width,Item Height,Item Weight,Handmade,MPN,Model,Burning Time,Custom Bundle,Customized,Bundle Description,California Prop 65 Warning,Personalization Instructions,
"265883857151","ZX9JECO738","Decor","Foyer Supplies","","","Square","","","Red","","3","","","","","","","","","","","","FO648420","","","","","","","",
"265897003974","ZX9JECO4607","Decor","Vaser Designs","","","Square","","","Red","","3","","","","","","","","","","","","VA2430142","","","","","","","",
"265665363980","ZX9JECO740","Decor","Foyer Supplies","","","Square","","","Yellow","","3","","","","","","","","","","","","FO331911","","","","","","","",
"265669316332","ZX9JECO741","Decor","Foyer Supplies","","","Square","","","Pink","","3","","","","","","","","","","","","FO330857","","","","","","","",
"255728906142","ZX9JECO4610","Decor","Vaser Designs","","","Square","","","Pink","","3","","","","","","","","","","","","VA2430143","","","","","","","",
"255575099735","ZX9JECO742","Decor","Foyer Supplies","","","Square","","","Green","","3","","","","","","","","","","","","FO335450","","","","","","","",
"265884048596","ZX9JECO744","Decor","Foyer Supplies","","","Square","","","Purple","","3","","","","","","","","","","","","FO335451","","","","","","","",
"265897068449","ZX9JECO745","Decor","Foyer Supplies","","","Square","","","Blue","","3","","","","","","","","","","","","FO769017","","","","","","","",
"265668957189","ZX9JECO746","Decor","Foyer Supplies","","","Square","","","Black","","3","","","","","","","","","","","","FO333907","","","","","","","",
"265884184522","ZX9JECO4615","Decor","Vaser Designs","","","Square","","","Black","","3","","","","","","","","","","","","VA2419531","","","","","","","",
"255509805026","ZX9JECO748","Decor","Foyer Supplies","","","Square","","","Gold","","3","","","","","","","","","","","","FO330858","","","","","","","",
"265884058768","ZX9JECO4617","Decor","Vaser Designs","","","Square","","","Gold","","3","","","","","","","","","","","","VA2419532","","","","","","","",
"265896981852","ZX9JECO5192","Decor","Vaser Designs","","","","","","White","","","","","","","","","","","","","","VA2593517","","","","","","","",
"265665328977","JECO5035","Decor","Jeco","","","Ball","","","Purple","","3","","","","","","","","","","","","CBZ-023_6","","","","","","","",
"265644846703","JECO5036","Decor","Jeco","","","Ball","","","Black","","3","","","","","","","","","","","","CBZ-024_6","","","","","","","",
"265665313507","JECO5048","Decor","Jeco","","","Ball","","","Purple","","4","","","","","","","","","","","","CBZ-034_6","","","","","","","",
"255489006075","JECO4729","Decor","Jeco","","","","","","","","6","","","","","","","","","","","","CEZ-009","","","","","","","",
"255534732130","JECO5256","Decor","Jeco","","","","","","Gold","","","","","","","","","","","","","","CEZ-041_12","","","","","","","",
"265668963261","JECO5257","Decor","Jeco","","","","","","Silver","","","","","","","","","","","","","","CEZ-042_12","","","","","","","",
"265887645306","JECO4402","Decor","Jeco","","","","","","Gold","","","","","","","","","","","","","","CEZ-085_12","","","","","","","",
"255524108652","JECO4403","Decor","Jeco","","","","","","Silver","","","","","","","","","","","","","","CEZ-086_12","","","","","","","",
"255737991016","JECO5056","Decor","Jeco","","","","","","","","","","","","","","","","","","","","CEZ-091_12","","","","","","","",
"265695280689","JECO5067","Decor","Jeco","","","","","","White","","","","","","","","","","","","","","CEZ-092_12","","","","","","","",
"255541785237","JECO5068","Decor","Jeco","","","","","","Yellow","","","","","","","","","","","","","","CEZ-094_12","","","","","","","",
