Item Id,SKU,Color,Brand,Type,Features,MPN,Model,Width,Length,Custom Bundle,Bundle Description,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,
"255761665874","308317","Clear","Unbranded","Box-Sealing Tape","Cold Hot Climates","Box-Sealing-Tape","2"" x 110 Yards 330ft","2""","110 yds","No","","No","","","China",
"265920794116","308316","Clear","Unbranded","Clear Shipping Tape","Cold Hot Climates","Clear Shipping Tape","2"" x 110 Yards 330ft","2""","110 yds","No","","No","","","China",
"265920742873","308315","Clear","Unbranded","Carton Sealing/Packaging Tape","Cold Hot Climates","Clear-Packaging-Tape","2"" x 110 Yards 330ft","2""","110 yds","No","","No","","","China",
"255760307099","308314","Clear","Unbranded","Carton Sealing/Packaging Tape","Cold Hot Climates","Clear-Packaging-Tape","2"" x 110 Yards 330ft","2""","110 yds","No","","No","","","China",
