Item Id,SKU,Bus Speed,Type,Memory Features,Brand,Form Factor,Capacity per Module,Number of Modules,Total Capacity,Number of Pins,MPN,Model,Custom Bundle,Bundle Description,California Prop 65 Warning,Country/Region of Manufacture,Item Height,Item Length,Item Width,Manufacturer Warranty,
"255121521116","250022","Pc4-2346 (Ddr4-2933)","DDR4 SDRAM","Registered","HP","RDIMM","64 GB","1","64 GB","288","P00930B21","","","","","","","","","",
"264768365949","297863","","DDR2 SDRAM","","Qimonda","","","","","","HYS72T256920HFA-3S-B","","","","","","","","","",
