Item Id,SKU,Type,Brand,Material,Style,Features,Indoor/Outdoor,Pattern,Size,Subject,Theme,Color,Country/Region of Manufacture,Occasion,Character,Character Family,Area of Use,Finish,Shape,Item Height,Customized,Item Length,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Care Instructions,Item Weight,Item Width,
"265644643823","AMFN1924","Furniture & Decor","American Furniture Classics","","","","","","","","","","","","","","","","","","","","622240","","","","","","",
"265644627204","SPIHM190","Furniture & Decor","SPI Home","","","","","","","","","","","","","","","","","","","","33595","","","","","","",
