Item Id,SKU,Type,Brand,Size,Department,Style,Fabric Type,Season,Lining Material,Color,Outer Shell Material,Features,Insulation Material,Character,Character Family,Theme,Accents,Closure,Product Line,Model,Jacket/Coat Length,Sleeve Length,Performance/Activity,Warmth Weight,Pattern,Country/Region of Manufacture,Occasion,Collar Style,Fit,Vintage,Handmade,MPN,Chest Size,Garment Care,Year Manufactured,California Prop 65 Warning,
"265314670769","301965","Jacket","Unbranded",,"Girls","Varsity Jacket","Fleece","Fall,Winter","100% Cotton","Gray","100% Cotton","Hooded","Polyester","Girls Jacket","School Girls","Modern","Two Tone","Pullover","","","Short","Long Sleeve","Baseball,CrossFit,Cross Training,Cycling,Dance,Driving","","","","Activewear,Casual,Travel,Workwear","","Athletic","","","","","","","",
"265314670769","301971",,,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265314670769","301970",,,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265314670769","301969",,,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265314670769","301968",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265314670769","301967",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265314670769","301966",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
