Item Id,SKU,Type,Brand,Material,Frame Material,Color,Number of Vents,Item Width,Number of Pieces,Features,Item Depth,Country/Region of Manufacture,Item Height,Shape,Style,Door Width,Base Included,Fixings Supplied,Manufacturer Warranty,Door Height,MPN,Assembly Required,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Weight,
"255483747691","POLYTX103","Furniture & Decor","Palram","","","Clear","","","","","","","","","","","","","","","HG9500","","","","","",
"265644487111","POLYTX104","Furniture & Decor","Palram","","","Gray","","","","","","","","","","","","","","","HG9501","","","","","",
"265644517976","POLYTX106","Furniture & Decor","Palram","","","Gray","","","","","","","","","","","","","","","HG9511","","","","","",
"255488691616","RVNI026","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","Mont-12-WB","","","","","",
"255488800031","RVNI031","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","Mont-12-WS","","","","","",
"255488706996","RVNI027","Furniture & Decor","Riverstone Industries","PVC","PVC","Black","","16 ft","8","","2 ft","","30 in","","","30 in","","","","","Mont-16-WB","Yes","","","","",
"255483939115","RVNI032","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","Mont-16-WS","","","","","",
"265639503694","RVNI028","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","Mont-20-WB","","","","","",
"255483937319","RVNI033","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","Mont-20-WS","","","","","",
"265639517609","RVNI034","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","Mont-24-WS","","","","","",
"265634316477","RVNI030","Furniture & Decor","Riverstone Industries","","","","","","8","","","","","","","","","","","","Mont-8-WS","","","","","",
"255488832855","RVNI258","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","Mont-Door-BK","","","","","",
"265639806489","RVNI035","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","MONT-VENT-BK","","","","","",
"265639595047","RVNI125","Furniture & Decor","Riverstone Industries","","","","","","10","","","","","","","","","","","","SC1020-30","","","","","",
"265644627855","RVNI126","Furniture & Decor","Riverstone Industries","","","","","","10","","","","","","","","","","","","SC1020-47","","","","","",
"255483730252","RVNI127","Furniture & Decor","Riverstone Industries","","","","","","10","","","","","","","","","","","","SC1020-55","","","","","",
"265639739249","RVNI128","Furniture & Decor","Riverstone Industries","","","","","","10","","","","","","","","","","","","SC1020-63","","","","","",
"265644584161","RVNI129","Furniture & Decor","Riverstone Industries","","","","","","10","","","","","","","","","","","","SC1020-73","","","","","",
"265639581089","RVNI130","Furniture & Decor","Riverstone Industries","","","","","","10","","","","","","","","","","","","SC1020-80","","","","","",
"265639524556","RVNI131","Furniture & Decor","Riverstone Industries","","","","","","10","","","","","","","","","","","","SC1025-30","","","","","",
"255488713683","RVNI132","Furniture & Decor","Riverstone Industries","","","","","","10","","","","","","","","","","","","SC1025-47","","","","","",
"255483954828","RVNI133","Furniture & Decor","Riverstone Industries","","","","","","10","","","","","","","","","","","","SC1025-55","","","","","",
"255476978782","RVNI134","Furniture & Decor","Riverstone Industries","","","","","","10","","","","","","","","","","","","SC1025-63","","","","","",
"255483965153","RVNI135","Furniture & Decor","Riverstone Industries","","","","","","10","","","","","","","","","","","","SC1025-73","","","","","",
"255476972213","RVNI136","Furniture & Decor","Riverstone Industries","","","","","","10","","","","","","","","","","","","SC1025-80","","","","","",
"265639646509","RVNI143","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1215-30","","","","","",
"255483894017","RVNI144","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1215-47","","","","","",
"265639762967","RVNI145","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1215-55","","","","","",
"255483683211","RVNI146","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1215-63","","","","","",
"265644618467","RVNI147","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1215-73","","","","","",
"265639550314","RVNI148","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1215-80","","","","","",
"255488689510","RVNI149","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1220-30","","","","","",
"265639634024","RVNI150","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1220-47","","","","","",
"255483839054","RVNI151","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1220-55","","","","","",
"265639508817","RVNI152","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1220-63","","","","","",
"255483707025","RVNI153","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1220-73","","","","","",
"265639713464","RVNI154","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1220-80","","","","","",
"265634292054","RVNI155","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1225-30","","","","","",
"255488751605","RVNI156","Furniture & Decor","Riverstone Industries","","","","","","","","","","","","","","","","","","SC1225-47","","","","","",
