Item Id,SKU,Material,Type,Features,Brand,Number in Pack,Color,Item Width,Country/Region of Manufacture,Size,Item Length,Department,Model,Bundle Description,Custom Bundle,MPN,California Prop 65 Warning,
"265597114739","RNLD729","Acrylic","Cook's Tools & Gadgets","","RestonLloyd","","","","","","","","","","","11752","",
"255461115577","RNLD729","Acrylic","Cook's Tools & Gadgets","","RestonLloyd","","","","","","","","","","","11752","",
