Item Id,SKU,Type,Fuel Type,Indoor/Outdoor,Items included,Shape,Brand,Material,Size,Color,Cooking Area Width,Finish,Cooking Area Length,Item Height,Mounting,Item Width,Item Diameter,Item Depth,Style,Features,Country/Region of Manufacture,Year Manufactured,Required Tools,Assembly Required,Item Weight,Manufacturer Warranty,MPN,Model,California Prop 65 Warning,Custom Bundle,Bundle Description,Power,
"255483846546","AMFGS1190","Firepits & Outdoor Fireplaces","","","","","American Fireglass","","","","","","","","","","","","","","","","","","","","SS-LCBMKIT-N-60","","","","","",
"255488696970","AMFGS1192","Firepits & Outdoor Fireplaces","","","","","American Fireglass","","","","","","","","","","","","","","","","","","","","SS-LCBMKIT-N-72","","","","","",
"265639702537","AMFGS1183","Firepits & Outdoor Fireplaces","","","","","American Fireglass","","","","","","","","","","","","","","","","","","","","SS-LCBMKIT-P-30","","","","","",
"255488766511","AMFGS1185","Firepits & Outdoor Fireplaces","","","","","American Fireglass","","","","","","","","","","","","","","","","","","","","SS-LCBMKIT-P-36","","","","","",
"255488750636","AMFGS1187","Firepits & Outdoor Fireplaces","","","","","American Fireglass","","","","","","","","","","","","","","","","","","","","SS-LCBMKIT-P-48","","","","","",
"265644613256","AMFGS1189","Firepits & Outdoor Fireplaces","","","","","American Fireglass","","","","","","","","","","","","","","","","","","","","SS-LCBMKIT-P-60","","","","","",
"255483648725","AMFGS1191","Firepits & Outdoor Fireplaces","","","","","American Fireglass","","","","","","","","","","","","","","","","","","","","SS-LCBMKIT-P-72","","","","","",
"255483922151","AMFGS1299","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPKIT-N-12","","","","","",
"265644487531","AMFGS1303","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPKIT-N-24","","","","","",
"255483656427","AMFGS1248","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPKIT-N-30","","","","","",
"265644517769","AMFGS1656","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPKIT-N-36","","","","","",
"265634314974","AMFGS1298","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPKIT-P-12","","","","","",
"265644606635","AMFGS1302","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPKIT-P-24","","","","","",
"255476957606","AMFGS1257","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPKIT-P-30","","","","","",
"255488822540","AMFGS1705","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPMKIT-N-12","","","","","",
"255476954236","AMFGS1709","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPMKIT-N-24","","","","","",
"255488727408","AMFGS1711","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPMKIT-N-30","","","","","",
"255483765147","AMFGS1713","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPMKIT-N-36","","","","","",
"255483785231","AMFGS1704","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPMKIT-P-12","","","","","",
"255483854794","AMFGS1706","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPMKIT-P-18","","","","","",
"255476937733","AMFGS1708","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPMKIT-P-24","","","","","",
"255483718578","AMFGS1710","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPMKIT-P-30","","","","","",
"255476946583","AMFGS1712","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RFPMKIT-P-36","","","","","",
"255488689827","AMFGS1297","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RSPKIT-N-19","","","","","",
"265644607559","AMFGS1296","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RSPKIT-P-19","","","","","",
"255488806094","AMFGS1701","Firepits & Outdoor Fireplaces","","","","Round","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-RSPMKIT-N-19","","","","","",
"265644602260","AMFGS1700","Firepits & Outdoor Fireplaces","Propane","","","Round","American Fireglass","Stainless Steel","","","19 in","","19 in","19 in","","19 in","19 in","19 in","","","","","","","","","SS-RSPMKIT-P-19","American Fireglass SS-RSPMKIT-P-19","","","","",
"265644510913","AMFGS1205","Firepits & Outdoor Fireplaces","","","","Square","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-SQPKIT-N-12","","","","","",
"265639592727","AMFGS1207","Firepits & Outdoor Fireplaces","","","","Square","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-SQPKIT-N-18","","","","","",
"265644524736","AMFGS1204","Firepits & Outdoor Fireplaces","","","","Square","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-SQPKIT-P-12","","","","","",
"265639510980","AMFGS1206","Firepits & Outdoor Fireplaces","","","","Square","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-SQPKIT-P-18","","","","","",
"265644517189","AMFGS1716","Firepits & Outdoor Fireplaces","","","","Square","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-SQPMKIT-N-12","","","","","",
"265639506129","AMFGS1718","Firepits & Outdoor Fireplaces","","","","Square","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-SQPMKIT-N-18","","","","","",
"265639768923","AMFGS1724","Firepits & Outdoor Fireplaces","","","","Square","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-SQPMKIT-N-36","","","","","",
"265639652131","AMFGS1230","Firepits & Outdoor Fireplaces","","","","Square","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-SQPMKIT-P-12","","","","","",
"255483907551","AMFGS1717","Firepits & Outdoor Fireplaces","","","","Square","American Fireglass","Stainless Steel","","","","","","","","","","","","","","","","","","","SS-SQPMKIT-P-18","","","","","",
"255483729547","AMFN1920","Firepits & Outdoor Fireplaces","","Outdoor","","","American Furniture Classics","","","","","","","","","","","","","","","","","","","","5502","","","","","",
"265639548588","AMFN1921","Firepits & Outdoor Fireplaces","","Outdoor","","","American Furniture Classics","","","","","","","","","","","","","","","","","","","","5503","","","","","",
"265639528504","AMFN1922","Firepits & Outdoor Fireplaces","","Outdoor","","","American Furniture Classics","","","","","","","","","","","","","","","","","","","","5505","","","","","",
"255483853752","ZX9PTPR016","Firepits & Outdoor Fireplaces","","","","","PatioPlus","","","","","","","","","","","","","","","","","","","","PA117263","","","","","",
"255863607356","AZPOH1096","Firepits & Outdoor Fireplaces","Propane","","","Round","AZ Patio Heaters","","","","","","","","","","","","","","","","","","","","AFP-FWT","","","","","",
"255863607457","AZPOH1099","Firepits & Outdoor Fireplaces","","","","Round","AZ Patio Heaters","","","","","","","","","","","","","","","","","","","","AFP-TTR","","","","","",
"265639521286","ZX9FTCN2073","Firepits & Outdoor Fireplaces","","","","","PerfectPatio","","","Black","","","","","","","","","","","","","","","","","PE1783038","","","","","",
"265639706708","ZX9PTPR007","Firepits & Outdoor Fireplaces","","","","","PatioPlus","","","","","","","","","","","","","","","","","","","","PA117257","","","","","",
"255483879387","MYRD1906569","Firepits & Outdoor Fireplaces","","","","","Blue Sky","","","Blue","","","","","","","","","","","","","","","","","BSKBFPNW2926","","","","","",
"255488674956","MYRD1906563","Firepits & Outdoor Fireplaces","","","","","Blue Sky","","","Blue","","","","","","","","","","","","","","","","","BSKPFP1513","","","","","",
"265644496580","MYRD1950933","Firepits & Outdoor Fireplaces","","","Poker","","Blue Sky","","","Blue","","","","","","","","","","","","","","","","","BSKPFP1513-C","","","","","",
"255483682241","MYRD1948389","Firepits & Outdoor Fireplaces","","","","","Blue Sky","","","Blue","","","","","","","","","","","","","","","","","BSKPFP2416","","","","","",
"255488687925","MYRD1906567","Firepits & Outdoor Fireplaces","","","Poker","","Blue Sky","","","Blue","","","","","","","","","","","","","","","","","BSKPFP2416-C","","","","","",
"255488732452","MYRD1950941","Firepits & Outdoor Fireplaces","","","","","Blue Sky","","","Blue","","","","","","","","","","","","","","","","","BSKWBFB29-MD","","","","","",
"255488735841","MYRD1950942","Firepits & Outdoor Fireplaces","","","","Square","Blue Sky","","","Blue","","","","","","","","","","","","","","","","","BSKWBFP28SQ-OD","","","","","",
"265639708207","MYRD1950943","Firepits & Outdoor Fireplaces","","","","Square","Blue Sky","","","Blue","","","","","","","","","","","","","","","","","BSKWBFP31SQ-GF","","","","","",
"255476939341","CRNN105","Firepits & Outdoor Fireplaces","Wood","","","","Curonian","Stainless Steel","","","","","","","","","","","","","","","","","","","63Rock","","","","","",
"255476955863","CRNN093","Firepits & Outdoor Fireplaces","Wood","","","","Curonian","Steel","","","","","","","","","","","","","","","","","","","63Tilsit","","","","","",
"255488732586","CRNN097","Firepits & Outdoor Fireplaces","Wood","","","","Curonian","Stainless Steel","","","","","","","","","","","","","","","","","","","79Jura","","","","","",
"265639786967","CRNN028","Firepits & Outdoor Fireplaces","Wood","","","","Curonian","Steel","","","","","","","","","","","","","","","","","","","FBFlame","","","","","",
"255488710214","CRNN026","Firepits & Outdoor Fireplaces","Wood","","","","Curonian","Steel","","","","","","","","","","","","","","","","","","","FBWitch","","","","","",
"255483802361","DECO1088","Firepits & Outdoor Fireplaces","Wood","Outdoor","","","Deeco","Steel","","","","","","","","","","","","","","","","","","","DM-4351","","","","","",
"265639672112","UNIF2004","Firepits & Outdoor Fireplaces","Gas","","","","Endless Summer","Steel","","","","","","","","","","","","","","","","","","","GAD1446ES","","","","","",
"265639674648","UNIF2006","Firepits & Outdoor Fireplaces","Gas","Outdoor","","","Endless Summer","","","","","","","","","","","","","","","","","","","","GAD15297ES","","","","","",
"265644627136","UNIF2008","Firepits & Outdoor Fireplaces","Gas","Outdoor","","Square","Endless Summer","","","","","","","","","","","","","","","","","","","","GAD15299ES","","","","","",
"265644474270","UNIF2009","Firepits & Outdoor Fireplaces","Gas","Outdoor","","Square","Endless Summer","","","","","","","","","","","","","","","","","","","","GAD15300ES","","","","","",
"255476954538","UNIF2001","Firepits & Outdoor Fireplaces","Gas","Outdoor","","","Endless Summer","","","","","","","","","","","","","","","","","","","","GAD15411SP","","","","","",
"255488658239","UNIF642","Firepits & Outdoor Fireplaces","Gas","Outdoor","","","Uniflame","","Medium","","","","","","","","","","","","","","","","","","GLT1332SP","","","","","",
"255483890191","UNIF2011","Firepits & Outdoor Fireplaces","Gas","Outdoor","","","Endless Summer","","","","","","","","","","","","","","","","","","","","GLT1356SP","","","","","",
"255488750812","UNIF616","Firepits & Outdoor Fireplaces","","Outdoor","","","Uniflame","","","","","Bronze","","","","","","","","","","","","","","","WAD1009SP","","","","","",
"265639808984","SSCH056","Firepits & Outdoor Fireplaces","","","","","Esschert Design USA","Metal","","","","","","","","","","","","","","","","","","","FF1002","","","","","",
"255488708086","SSCH090","Firepits & Outdoor Fireplaces","","","","","Esschert Design USA","Metal","","","","","","","","","","","","","","","","","","","FF1005","","","","","",
"255488691386","SSCH094","Firepits & Outdoor Fireplaces","","","","","Esschert Design USA","Metal","","","","","","","","","","","","","","","","","","","FF1009","","","","","",
"265639629684","SSCH095","Firepits & Outdoor Fireplaces","","","","","Esschert Design USA","Metal","","","","","","","","","","","","","","","","","","","FF1010","","","","","",
"255488814621","SSCH077","Firepits & Outdoor Fireplaces","","","","","Esschert Design USA","Metal","Large","","","","","","","","","","","","","","","","","","FF1013","","","","","",
"255483926570","SSCH113","Firepits & Outdoor Fireplaces","","","","","Esschert Design USA","Metal","Large","","","Metallic","","","","","","","","","","","","","","","FF1017","FF1017","","","","",
"265639740536","SSCH079","Firepits & Outdoor Fireplaces","","","","","Esschert Design USA","Metal","Large","","","","","","","","","","","","","","","","","","FF1021","","","","","",
"265644603825","SSCH082","Firepits & Outdoor Fireplaces","","","","","Esschert Design USA","Metal","Large","","","","","","","","","","","","","","","","","","FF1022","","","","","",
"265644498287","SSCH116","Firepits & Outdoor Fireplaces","","","","","Esschert Design USA","Metal","Large","","","","","","","","","","","","","","","","","","FF1024","","","","","",
"265639660779","SSCH047","Firepits & Outdoor Fireplaces","Wood","","","","Esschert Design USA","Metal","Small","","","","","","","","","","","","","","","","","","FF169","","","","","",
"255488710126","SSCH018","Firepits & Outdoor Fireplaces","","","","","Esschert Design USA","Cast Iron","Extra Large","Black","","","","","","","","","","","","","","","","","FF90","FF90","","","","",
"265639799198","ZX9TWST6946","Firepits & Outdoor Fireplaces","","","","","PerfectPatio","","","","","","","","","","","","","","","","","","","","PE1630992","","","","","",
"265639518852","ZX9FTCN2072","Firepits & Outdoor Fireplaces","","","","","PerfectPatio","","","Black","","","","","","","","","","","","","","","","","PE1774609","","","","","",
"255488830978","MYRD1950674","Firepits & Outdoor Fireplaces","Gas","","","","GHP","","","","","","","","","","","","","","","","","","","","DGLOFG901T","","","","","",
"265644494446","MYRD1952671","Firepits & Outdoor Fireplaces","","","","","GHP Group","","","","","","","","","","","","","","","","","","","","DGLOFW307R","","","","","",
"255483765917","ZX9ALMO13727","Firepits & Outdoor Fireplaces","","Outdoor","","","Cuadrilatero","Steel","","","","","","","","","","","","","","","","","","","CU1680928","","","","","",
"265644473813","HHLD135","Firepits & Outdoor Fireplaces","Propane","Outdoor","","","Heininger","","","","","","","","","","","","","","","","","","","","5995","","","","","",
