Item Id,SKU,Focal length,Mount,Maximum Aperture,Brand,Series,Type,Focus Type,Compatible Brand,Compatible filter size,Compatible lens front,Country/Region of Manufacture,Exterior material,Year Manufactured,Model,Manufacturer Warranty,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Weight,Item Width,
"265272864914","307678","35-80mm","Nikon","f/4-5.6","Quantaray","","Zoom lens","Zoom","For Nikon","","","Japan","","","NF AF","","","","","","","","","",
"265268151117","","70-210mm","Nikon","f/4-5.6","Quantaray","","Zoom lens","Zoom","For Canon,For Nikon","","","Japan","","","NF AF","","","","","","","","","",
