Item Id,SKU,Brand,Original/Reproduction,Color,Type of Advertising,Date of Creation,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Theme,
"255437753538","CNTGS005","Chincoteague Seafood","","","","","","","","","Soup",
"255461099687","KEHE1050","Dr Mcdougalls","","","","","","","","","Soup",
"255437755518","KEHE1050","Dr Mcdougalls","","","","","","","","","Soup",
"255462045282","KEHE3237","Knorr","","","","","","","","","",
