Item Id,SKU,Socket Type,Brand,Form Factor,Compatible CPU Brand,Most Suitable For,Number of Memory Slots,Memory Type,Model,Expansion Slots,Input/Output Ports,Features,Country/Region of Manufacture,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"264653291683","107167","Socket 370","Tyan","","Intel","","","","","","","","","S2518","","","","","","","",
"264161255817","105318","Socket 370","Tyan","","","","","","","","","","","S2518GN","","","","","","","",
"254093280559","103440","Socket 370","Tyan","","Intel","","","","","","","","","S2518GNR","","","","","","","",
"264161258176","106251","Socket 370","TYAN","Extended ATX","Intel","","","","","","","","","S2518UGN","","","","","","","",
"264956973420","107130","Socket 604","Tyan","","Intel","","","","","","","","","S2665ANF","","","","","","","",
"254093293789","107132","","Tyan","","Intel","","","","","","","","","S2668AN","","","","","","","",
"254093306178","110337","","Tyan","","","","","","","","","","","S2720UGN","","","","","","","",
"264161275616","109552","Socket 604","TYAN","ATX","Intel","","","","","","","","","S2735G3NR-8M,S2735G3NR","","","","","","","",
"264663439142","108365","Socket 478","Tyan","","Intel","","","","","","","","","S3098G2N","","","","","","","",
"264161298954","115474","Socket 478","Tyan","","Intel","","","","","","","","","S3098G2N-G","","","","","","","",
"254537469236","108374","","Tyan","","Intel","","8","","","","","","","S5350-D-1UR-RS","","","","","","","",
"264663535046","111007","Socket 604","Tyan","","","","","","","","","","","S5350G2NR-1U","","","","","","","",
"254528488942","105852","Socket 604","Tyan","","Intel","","8","","","","","","","S5360G2NR-1UR","","","","","","","",
"254537550292","111448","Socket 604","Tyan","","Intel","","8","","","","","","","S5360G2NR-1UR-Ref","","","","","","","",
"264653291719","107202","Socket 370","Tyan","","","","","","","","","","","Thunder-LE-S2510NG","","","","","","","",
"264663536231","115505","Socket 479","Tyan","","","","","","","","","","","Toledo-i3100-S5207G2NR","","","","","","","",
"254537468824","107112","Socket 940","Tyan","","AMD","","","","","","","","","Tomcat-K8S-S2850G2N","","","","","","","",
