Item Id,SKU,Brand,Type,Model,Handmade,Features,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"255581173635","NMG477505","Cricut","Heat Press","2006808","","Manual","2006808","","","","","","",
"255580962211","NMG426543","Dritz","Arts & Crafts","","","","750-32","","","","","","",
