Item Id,SKU,Type,Fragrance Name,Brand,Features,Volume,Formulation,Size Type,Scent,Personalize,Country/Region of Manufacture,MPN,Bundle Description,California Prop 65 Warning,Custom Bundle,Expiration Date,Personalization Instructions,
"255576643594","FN309674","Eau de Parfum","Portrait of A Lady","Frederic Malle","All Natural Ingredients,Long Lasting,Concentrated,Includes Pheromones","1.7 fl oz","Spray","Regular Size","","","","543173","","","","","",
"255463049310","FN311287","Eau de Parfum","Gucci Guilty","Gucci","","3 fl oz","Spray","Tester","Oud","","","548293","","","","","",
