Item Id,SKU,Type,Application,Finish,Material,Brand,Color,Number in Pack,Item Height,Item Width,Style,Year Manufactured,Room,Item Depth,Item Weight,Shape,Power Source,Features,Model,Custom Bundle,Country/Region of Manufacture,Bundle Description,MPN,California Prop 65 Warning,Power,
"265674100946","CUIC9918","Fireplaces","","","","Majestic","","6","","","","","","","","","","","","","","","PH24R","","",
"265695159277","CUIC10286","Fireplaces","","Ceramic","Ceramic","Majestic","","17","","","","","","","","","","","","","","","VDY24/18D2A","","",
"255509971360","CUIC10288","Fireplaces","","Ceramic","Ceramic","Majestic","","8","","","","","","","","","","","","","","","VDY24/18D5","","",
"255541668506","CUIC10292","Fireplaces","","","Cement","Majestic","","","","","","","","","","","","","","","","","VDY30D3R","","",
"265887713424","CUIC10293","Fireplaces","","Ceramic","Ceramic","Majestic","","8","","","","","","","","","","","","","","","VDY30D5","","",
"255534578629","BNF4381","Fireplaces","","","Metal","Maxam","","","","","","","","","","","","","","","","","HHLOG24","","",
"255518252767","CUIC8633","Fireplaces","","","","Monessen","","","","","","","","","","","","","","","","","BC30-R","","",
"255719616709","CUIC8679","Fireplaces","","Ceramic","Ceramic","Monessen","","18","","","","","","","","","","","","","","","BO18-F","","",
"265690737167","CUIC8681","Fireplaces","","Ceramic","Ceramic","Monessen","","","","","","","","","","","","","","","","","BO24-F","","",
"255509772102","CUIC8683","Fireplaces","","Ceramic","Ceramic","Monessen","","","","","","","","","","","","","","","","","BO30-F","","",
"265887742483","CUIC9027","Fireplaces","","","Oak","Monessen","","5","","","","","","","","","","","","","","","EYF24-R","","",
"265674047821","CUIC9028","Fireplaces","","","Oak","Monessen","","5","","","","","","","","","","","","","","","EYF30-R","","",
"255518238755","CUIC9301","Fireplaces","","","Cement","Monessen","","","","","","","","","","","","","","","","","GO324","","",
"255541714896","CUIC9343","Fireplaces","","","Oak","Monessen","","18","","","","","","","","","","","","","","","HO18-R","","",
"255539051482","CUIC9344","Fireplaces","","","","Monessen","","","","","","","","","","","","","","","","","HO24-R","","",
"255541715605","CUIC9806","Fireplaces","","","","Monessen","","8","","","","","","","","","","","","","","","MOJO22-R","","",
"255528963621","CUIC9807","Fireplaces","","","","Monessen","","8","","","","","","","","","","","","","","","MOJO27-R","","",
"255513534731","CUIC9819","Fireplaces","","","","Monessen","","18","","","","","","","","","","","","","","","MX18-H","","",
"255509756983","CUIC9820","Fireplaces","","","","Monessen","","","","","","","","","","","","","","","","","MX24-H","","",
"255518265813","CUIC9821","Fireplaces","","","","Monessen","","","","","","","","","","","","","","","","","MX30-H","","",
"265698073779","CUIC9919","Fireplaces","","","","Monessen","","6","","","","","","","","","","","","","","","PH30R","","",
"265896936641","CUIC10291","Fireplaces","","Ceramic","Ceramic","Monessen","","4","","","","","","","","","","","","","","","VDY30D2A","","",
"265669049881","FTCN3416","Fireplaces","","","Stainless Steel","Napa Forge","","","","","","","","","","","","","","","","","18521S","","",
"265887734694","CGP1112","Fireplaces","","","Oak","Peterson Gas Logs","","6","","","","","","","","","","","","","","","64YE","","",
"265690655147","CGP1277","Fireplaces","","","Oak","Peterson Gas Logs","","7","","","","","","","","","","","","","","","CHD24","","",
"255528959997","CGP2090","Fireplaces","Fireplace","","Oak","Peterson Gas Logs","","6","","","","","","","","","","","","","","","SO418","","",
"255513298509","CGP2092","Fireplaces","Fireplace","","Oak","Peterson Gas Logs","","7","","","","","","","","","","","","","","","SO424","","",
"255541708669","CGP2094","Fireplaces","Fireplace","","Oak","Peterson Gas Logs","","7","","","","","","","","","","","","","","","SO430","","",
"265673935548","CGP2126","Fireplaces","","","","Peterson Gas Logs","","","","","","","","","","","","","","","","","SPK26","","",
"265896932050","ZX9ACHR140931","Fireplaces","Fireplace","","","BluePrints","","","","","","","","","","","","","","","","","BL2513646","","",
"265668975140","ZX9CGP1396265","Fireplaces","","","","Flowers First","","15","","","","","","","","","","","","","","","FL1321082","","",
"265697918334","ZX9CGP1396233","Fireplaces","","","Oak","Flowers First","","18","","","","","","","","","","","","","","","FL1520658","","",
"265679853921","ZX9CGP1396221","Fireplaces","","","Birch","Flowers First","","18","","","","","","","","","","","","","","","FL1321061","","",
"265674088366","ZX9CGP1396229","Fireplaces","","","Oak","Flowers First","","18","","","","","","","","","","","","","","","FL1321065","","",
"265668907754","ZX9CGP1396239","Fireplaces","","","Oak","Flowers First","","18","","","","","","","","","","","","","","","FL1321070","","",
"255539037950","ZX9CGP1396251","Fireplaces","","","Oak","Flowers First","","18","","","","","","","","","","","","","","","FL1321076","","",
"265697859697","ZX9CGP1396242","Fireplaces","","","Oak","Flowers First","","18","","","","","","","","","","","","","","","FL1513322","","",
"265695324149","ZX9CGP1396273","Fireplaces","","","","Flowers First","","18","","","Western","","","","","","","","","","","","FL1321086","","",
"255513448108","ZX9CGP1396268","Fireplaces","","","Birch","Flowers First","White","18","","","","","","","","","","","","","","","FL1321083","","",
"255528965375","ZX9CGP1396042","Fireplaces","","","Birch","Flowers First","","","","","","","","","","","","","","","","","FL1321009","","",
"265697998752","ZX9CGP1396021","Fireplaces","","","","Flowers First","","","","","","","","","","","","","","","","","FL1320994","","",
"255518215686","ZX9CGP1396029","Fireplaces","","","","Flowers First","","","","","","","","","","","","","","","","","FL1320999","","",
"255524099673","ZX9CGP1396038","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL1321006","","",
"255509849990","ZX9CGP1396246","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL1321074","","",
"255539182405","ZX9CGP1396207","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL1522686","","",
"255513035648","ZX9CGP1396236","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL1321069","","",
"255539185203","ZX9CGP1396222","Fireplaces","","","Birch","Flowers First","","","","","","","","","","","","","","","","","FL1321062","","",
"265690615778","ZX9CGP1396231","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL1321067","","",
"265669363604","ZX9CGP1396240","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL1321071","","",
"255524233675","ZX9CGP1396252","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL1321077","","",
"265684720647","ZX9CGP1396244","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL1321073","","",
"265665545765","ZX9CGP1396269","Fireplaces","","","Birch","Flowers First","White","","","","","","","","","","","","","","","","FL1321084","","",
"265697881245","ZX9CGP1396034","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL1321002","","",
"265674183657","ZX9CGP1396039","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL1321007","","",
"255509914399","ZX9CGP1396051","Fireplaces","","","","Flowers First","","","","","","","","","","","","","","","","","FL1321012","","",
"255529077109","ZX9CGP1396223","Fireplaces","","","Birch","Flowers First","","","","","","","","","","","","","","","","","FL1321063","","",
"265887745601","ZX9CGP1396241","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL1321072","","",
"265668946052","ZX9CGP1396253","Fireplaces","","","Oak","Flowers First","","","","","","","","","","","","","","","","","FL1321078","","",
"265680179096","ZX9CGP1396030","Fireplaces","","","Oak","Flowers First","","18","","","","","","","","","","","","","","","FL1321000","","",
"255513216755","ZX9CGP1396033","Fireplaces","","","Oak","Flowers First","","18","","","","","","","","","","","","","","","FL1321001","","",
"265690737665","ZX9CGP1396037","Fireplaces","","","Oak","Flowers First","","16","","","","","","","","","","","","","","","FL1321005","","",
"255529074174","ZX9CGP1396069","Fireplaces","","","Oak","Flowers First","","18","","","","","","","","","","","","","","","FL1321016","","",
