Item Id,SKU,Type,Brand,Model,MPN,Material,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"265603679835","ACHR137516","Bird","Sweet-Nectar","","8000388","","","","","","","",
"255444574225","ZX9BCI20995","Bird","No Sweat My Pet","","NO44872","","","","","","","",
"265603703929","ZX9WDLNK057","Bird","Fancy Feline","","FA142300","","","","","","","",
"265603672045","ACHR149896","Bird","Woodlink","","8041133","Plastic","","","","","","",
"255444558030","ACHR149897","Bird","Woodlink","","8041134","Plastic","","","","","","",
"255461388534","WDLNK002","Bird","Woodlink","","24359","","","","","","","",
"255444589625","WDLNK002","Bird","Woodlink","","24359","","","","","","","",
"255444568396","WDLNK003","Bird","Woodlink","","24360","","","","","","","",
"265603677578","GC4888","Bird","Woodlink","","24573","Metal","","","","","","",
"265603694409","WDLNK021","Bird","Woodlink","","24521","","","","","","","",
"255576380160","WDLNK027","Bird","Woodlink","","24355","Wood","","","","","","",
"255444543816","WDLNK200","Bird","Woodlink","","COPSUN","","","","","","","",
"255444593372","WDLNK201","Bird","Woodlink","","COPTHISTLE","","","","","","","",
"265603660620","WDLNK041","Bird","Woodlink","","24425","","","","","","","",
"255444575670","WDLNK043","Bird","Woodlink","","24436","","","","","","","",
"265603691342","WDLNK052","Bird","Woodlink","","24421","","","","","","","",
"255444591594","WDLNK053","Bird","Woodlink","","24426","","","","","","","",
"255461389675","WDLNK053","Bird","Woodlink","","24426","","","","","","","",
"255444587266","WDLNK054","Bird","Woodlink","","24419","","","","","","","",
"265619940840","WDLNK054","Bird","Woodlink","","24419","","","","","","","",
"265603698891","WDLNK202","Bird","Woodlink","","24710","","","","","","","",
"265619939487","WDLNK202","Bird","Woodlink","","24710","","","","","","","",
"255444545923","WDLNK068","Bird","Woodlink","","24412","","","","","","","",
"265603679110","JNSN39422","Bird","Woodlink","","24515","","","","","","","",
"265603700576","WDLNK089","Bird","Woodlink","","24377","","","","","","","",
"255444592736","WDLNK091","Bird","Woodlink","","24363","","","","","","","",
"255444592416","GC41525","Bird","Woodlink","","WL24459","","","","","","","",
"265603686225","GC42683","Bird","Woodlink","","WL24865","","","","","","","",
"255444539233","GC42455","Bird","Woodlink","","WL25436","","","","","","","",
"255444592316","WDLNK229","Bird","Woodlink","","24615","","","","","","","",
"255444544168","WDLNK120","Bird","Woodlink","","24617","","","","","","","",
"255444538891","WDLNK127","Bird","Woodlink","","24911","","","","","","","",
"255444603006","ACHR161820","Bird","Woodstream","","8386385","","","","","","","",
"265603675162","WDSC181","Bird","Woodstream Corporation","","337","","","","","","","",
"255444558650","ORGL61760","Bird","Woodstream","","5886692","","","","","","","",
"255444593760","BC683874","Bird","Woodstream Wildbird","","683874","","","","","","","",
"255444554195","ZX9TRVAL125654","Bird","Reincarnation","","RE2179025","","","","","","","",
"255444590234","ZNPT1571","Bird","Zenport Industries","","Z38002","","","","","","","",
