Item Id,SKU,Brand,Color,Capacity,Type,Material,Manufacturer Warranty,Size,Features,Number of Compartments,Theme,Number of Shelves,Number of Items in Set,Shape,Suitable For,Item Width,Model,Country/Region of Manufacture,Item Depth,Item Diameter,Item Length,Item Height,MPN,Assembly Required,Mounting,Weight Capacity,Style,Custom Bundle,California Prop 65 Warning,Bundle Description,Care Instructions,Finish,Item Weight,Pattern,Personalized,
"265639756688","ZX9TNTI1051","Piazza","Brown","","Furniture & Decor","","","","","","","","","","","","","","","","","","PI1627926","","","","","","","","","","","","",
"265639718179","TNTI1051","Trinity","Brown","","Furniture & Decor","","","","","","","","","","","","","","","","","","THBAB-3108","","","","","","","","","","","","",
