Item Id,SKU,Type,Brand,Color,Material,Suitable For,Features,Finish,Style,Items included,Number in Pack,Shape,Door Handing,Fixings Supplied,Item Height,Country/Region of Manufacture,Knob Diameter,Item Width,Item Depth,Item Length,Model,MPN,California Prop 65 Warning,Custom Bundle,Bundle Description,Item Weight,Manufacturer Warranty,
"265644528347","TPNTD239684","Furniture & Decor","Sargent","","","","","Satin","","","","","","","","","","","","","","TR8205LNL10","","","","","",
"265639653358","TPNTD239685","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8205LNL10B","","","","","",
"255483874317","TPNTD239687","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8205LNL26","","","","","",
"265639633078","TPNTD239688","Furniture & Decor","Sargent","","","","","Satin","","","","","","","","","","","","","","TR8205LNL26D","","","","","",
"255488818115","TPNTD239692","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8205LNP26","","","","","",
"265639787913","TPNTD239693","Furniture & Decor","Sargent","","","","","Satin","","","","","","","","","","","","","","TR8205LNP26D","","","","","",
"265639568568","TPNTD239695","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8205LW1B26D","","","","","",
"265639548403","TPNTD239697","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8205LW1L26D","","","","","",
"265639523747","TPNTD239699","Furniture & Decor","Sargent","","","","","Satin","","","","","","","","","","","","","","TR8215LNB26D","","","","","",
"265644623601","TPNTD239701","Furniture & Decor","Sargent","","","","","Satin","","","","","","","","","","","","","","TR8215LNJ26D","","","","","",
"265634316849","TPNTD239703","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8215LNL26","","","","","",
"265639770517","TPNTD239707","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8215LW1B26D","","","","","",
"255488801320","TPNTD239709","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8215LW1L26D","","","","","",
"265644483149","TPNTD239711","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8237LNJ26D","","","","","",
"255476900782","TPNTD239712","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8237LNL26D","","","","","",
"255488710309","TPNTD239716","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8265LNB26D","","","","","",
"265639678373","TPNTD239719","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8265LNJ26D","","","","","",
"265634305401","TPNTD239722","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8265LNL26","","","","","",
"265634260166","TPNTD239723","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8265LNL26D","","","","","",
"265639536504","TPNTD239728","Furniture & Decor","Sargent","","","","","","","","","","","","","","","","","","","TR8265LW1B26D","","","","","",
"265644644133","TPNTD238057","Furniture & Decor","Simplex","","","","","","","","","","","","","","","","","","","101126D","","","","","",
"265634288094","TPNTD238058","Furniture & Decor","Simplex","","","","","","","Key","","","","","","","","","","","","1021B26D","","","","","",
"265634316662","ZX9TPNTD235150","Furniture & Decor","New CourtYard","","","","","","","","","","","","","","","","","","","NE2177958","","","","","",
"265639781388","TPNTD243783","Furniture & Decor","Stanley Commercial Hardware","","","Commercial","","","","Hardware","","","","","","","","","","","","QET370E689LC","","","","","",
"255483711870","TPNTD237067","Furniture & Decor","Stanley Precision","","","","","","","Key","","","","","","","","","","","","4908A630LHR","","","","","",
"255483683656","TPNTD237155","Furniture & Decor","Stanley Precision","","","","","","","Key","","","","","","","","","","","","4908D630RHR","","","","","",
"265644644491","ZX9TPNTD239657","Furniture & Decor","OpenSkies","","Bronze","","","Bronze","","","","","","","","","","","","","","OP2057492","","","","","",
"255476924379","ZX9TPNTD239658","Furniture & Decor","OpenSkies","","Chrome","","","Satin","","","","","","","","","","","","","","OP2006911","","","","","",
"255488735109","ZX9TPNTD239666","Furniture & Decor","OpenSkies","","","","","Satin","","","","","","","","","","","","","","OP2005186","","","","","",
"255483874396","ZX9TPNTD239659","Furniture & Decor","OpenSkies","","Bronze","","","Bronze","","","","","","","","","","","","","","OP2006912","","","","","",
"255483839932","ZX9TPNTD239660","Furniture & Decor","OpenSkies","","Chrome","","","Satin","","","","","","","","","","","","","","OP2056349","","","","","",
"255483906955","ZX9TPNTD239662","Furniture & Decor","OpenSkies","","Chrome","","","","","","","","","","","","","","","","","OP2063975","","","","","",
"265639674740","ZX9TPNTD239663","Furniture & Decor","OpenSkies","","Chrome","","","Satin","","","","","","","","","","","","","","OP2155584","","","","","",
"255483680889","ZX9TPNTD239668","Furniture & Decor","OpenSkies","","","","","Satin","","","","","","","","","","","","","","OP2056350","","","","","",
"265639636180","ZX9TPNTD239664","Furniture & Decor","OpenSkies","","Bronze","","","Bronze","","","","","","","","","","","","","","OP2057493","","","","","",
"265639545517","ZX9TPNTD239665","Furniture & Decor","OpenSkies","","Chrome","","","Satin","","","","","","","","","","","","","","OP2178065","","","","","",
"255488753851","ZX9TPNTD237386","Furniture & Decor","PatioPlus","","Nickel","","","Satin","","","","","","","","","","","","","","PA2046447","","","","","",
"255488768878","TPNTD233589","Furniture & Decor","Weslock","","Bronze","","Exterior","Bronze","","","","","","","","","","","","","","01345-1--0020","","","","","",
"255476908698","TPNTD233349","Furniture & Decor","Weslock","","","","","","","","","","","","","","","","","","","01502P1P1SL2D","","","","","",
"255483747250","TPNTD233573","Furniture & Decor","Weslock","","","","Exterior","","","","","","","","","","","","","","","06681-1--002D","","","","","",
"265948202253","TPNTD233552","Furniture & Decor","Weslock","Black","","","Exterior","","","","","","","","","","","","","","","07931-2--002D","","","","","",
"265639577676","ZX9TPNTD235385","Furniture & Decor","PatioPlus","","Bronze","","","Bronze","","","2","","","","","","","","","","","PA1632759","","","","","",
"265639541542","ZX9TPNTD235386","Furniture & Decor","PatioPlus","","Bronze","","","Bronze","","","2","","","","","","","","","","","PA1626520","","","","","",
"255476972868","TPNTD240725","Furniture & Decor","Yale","","","Commercial","","","","","","","","","","","","","","","","AU428F630","","","","","",
