Item Id,SKU,Set Includes,Type,Theme,Pattern,Brand,Material,Color,Occasion,Features,Service For,Character,Character Family,Country/Region of Manufacture,Style,Shape,Personalize,Item Width,Manufacturer Warranty,Item Height,Number of Items in Set,Capacity,MPN,Item Weight,California Prop 65 Warning,Model,Bundle Description,Custom Bundle,Personalization Instructions,
"254238952325","116601","Mug","Travel Mug","","Solid","Maxam","Stainless Steel","Black","","Break/Chip Resistant","","Chip","","","","","","","","","","","KTMUGPL","","","","","","",
"255042209139","116441","Coffee Mug","Coffee Mug","Camping","Solid Color","Maxam","Stainless Steel","Silver","All Occasions","Dishwasher Safe","1","Chip","","","Classic","Round","","3.5 in","","3.5 in","One Piece","","KTCFCP","6.4 ounces","","KTCFCP","","","",
