Item Id,SKU,Material,Color,Shape,Size,Brand,Country/Region of Manufacture,Pattern,Style,Room,Type,Pile Height,Regional Design,Features,Item Width,Item Length,Pile Type,Department,MPN,Model,Bundle Description,California Prop 65 Warning,Custom Bundle,Era,
"265884000675","OCNTR51527","Sheepskin","","","","HomeRoots","","","","","Rugs","","","","","","","","388527","","","","","",
"255725138756","OCNTR51529","Sheepskin","Gray","","","HomeRoots","","","","","Rugs","","","","","","","","388529","","","","","",
