Item Id,SKU,Type,Sensor Type,Style,Brand,Room,Lighting Technology,Material,Number of Settings,Finish,Color,Cord Color,Light Color,Shade Shape,Power Source,Features,Installation Area,Manufacturer,Voltage,IP Rating,Theme,Pattern,Item Diameter,Energy Star,Number of Lights,Year Manufactured,Occasion,Country/Region of Manufacture,Amperage,Light Direction,Output Voltage,Department,Personalized,LED Chip Code,Color Temperature,Assembly Required,Era,Labels & Certifications,Lumens,Manufacturer Warranty,Power Consumption,Control Style,LED String/Strip Type,MPN,EC Range,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,Model,Number of Speeds,Product Line,
"255463242773","ZX9VXCL582","Ceiling Lights","","","PerfectTwinkle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PE804305","","","","","","","","","","","",
"255474891958","ORE2320","Ceiling Lights","","Antique","Ore Furniture","","","Brass","","Antique Brass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1966AB","","","","","","","","","","","",
"255474954498","ORE2529","Ceiling Lights","","","Ore Furniture","","","Crystal","","","Silver","Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-5109H","","","","","","","","","","","",
"265621853631","ORE2554","Ceiling Lights","","","Ore Furniture","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-5126S","","","","","","","","","","","",
"265629927906","ORE2752","Ceiling Lights","","","Ore Furniture","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-5149H","","","","","","","","","","","",
"255463216575","ORE2750","Ceiling Lights","","","Ore Furniture","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-5150H","","","","","","","","","","","",
"265632668099","ORE031","Ceiling Lights","","Antique","ORE INTERNATIONAL","","","Brass","","Antique Brass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1966AB","","","","","","","","","","","",
"265629946461","ORE3398","Ceiling Lights","Light","","ORE INTERNATIONAL","","","Crystal","","","Gold","Gold","Gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-5809H","","","","","","","","","","","",
"255463187256","ZX9ZLD1882","Ceiling Lights","Light","","Lucent","","","Silver","6","","Clear","Clear","Clear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LU704522","","","","","","","","","","","",
"265796404132","ZX9ALMO5949","Ceiling Lights","","","SplashofFlash","","","","","","","","","Flower","","","","","","","","Flower","","","","","","","","","","","","","","","","","","","","","","SP881577","","","","","","","","","","","",
"255476790750","ZX9AFL020","Ceiling Lights","","","LightitUp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI33770","","","","","","","","","","","",
"255463199153","VXCL323","Ceiling Lights","","Antique","Vaxcel International","","","Brass","","Antique Brass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CH30307A","","","","","","","","","","","",
"265621857335","VXCL324","Ceiling Lights","","","Vaxcel International","","","Nickel","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CH30307BN","","","","","","","","","","","",
"255463201480","VXCL342","Ceiling Lights","","","Vaxcel International","","","Nickel","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CH35405BN","","","","","","","","","","","",
