Item Id,SKU,Type,Brand,Compatible Motherboard Brand,Compatible Port,Compatible Socket Type,Country/Region of Manufacture,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"254086556148","100533","CMOS Battery","Saft","Universal","","","","LS14250-AX","","","","","","","",
"254093281040","103485","CMOS Battery","Maxell","Universal","","","","","","","","","","","",
