Item Id,SKU,Brand,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"255728602243","SYRA23939","Surya Rug","RAI1103-35","","","","","","",
"255725151842","SYRA28927","Surya Rug","RAI1103-58","","","","","","",
