Item Id,SKU,Storage Capacity,Form Factor,Interface,Brand,Type,Drive Type(s) Supported,Compatible With,Color,Product Line,Features,Read Speed,Cache,Storage Format,Write Speed,Transfer Rate,Country/Region of Manufacture,Model,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"255139727266","140696","512 GB","2.5 in","Serial ATA","Dell","Solid State Drives","SSD (Solid State Drive),Internal SSD","Laptop","Black","Dell","Solid State","","","Internal","","","","SNp110S/5125","SNP110S512G","","","","","","","",
"265300237401","298682","128 MB,1.6 TB","2.5 in","NVME,PCI Express","Micron","Internal SSD","SSD (Solid State Drive),Internal SSD","Laptop,PC,Mac","Black","Micron","Hot Swap","3000","128 MB","HDD & SSD","","","","Micron 7300 MAX","MTFDHBE1T6TDG-1AW1ZABYY","","","","7","","","",
