Item Id,SKU,Type,Sport/Activity,Brand,Color,Features,Number of Items in Set,Material,Country/Region of Manufacture,Personalize,Department,Personalized,Size,Vintage,Item Length,MPN,Model,Item Width,Item Height,Item Weight,Shape,Custom Bundle,Bundle Description,California Prop 65 Warning,Care Instructions,Event,Event Type,Item Diameter,Set Includes,Team,Personalization Instructions,
"255017314577","307323","Yoga Mat","Fitness","Generic","Black","Non-Slip","1","EVA,Foam","China","No","Unisex Adults","No","72x24","No","72""","72x24-15mm-Thick-Non-Slip-Yoga-Mat","Non Slip Yoga Mat","24""","1/2""","1.14","Rectangular","No","","","","","","","","","",
"254996193185","307323","Yoga Mat","Gym & Training","Unbranded","Black","Non-Slip","1","NBR","China","No","Unisex Adults","No","72x24 in","No","72""","72x24-Non-Slip-Yoga-Mat","Fitness Mat","24""","1/2 in","1lb 12oz","rectangle","No","","","wipe with damp cloth","","","","mat and carrying strap","","",
"255782520670","308367","Yoga Mat","Gym & Training","Unbranded","Purple","Non-Slip","1","TPE","China","No","Unisex Adults","No","72x24 in","No","72","tpe-yoga-mat","tpe-yoga-mat-purple","24","6mm","2","Rectangle","No","","","Damp Cloth","Gym","Personal Fitness","","Fitness Mat,Carrying Strap","","",
"265941730756","308366","Yoga Mat","Gym & Training","Generic","Purple","Non-Slip","1","Foam","China","No","Unisex Adults","No","72x24","No","72 in","72x24 1/2"" thick fitness mat","Non Slip Yoga Mat","24 in","1/2""","1.14","Rectangular","No","","","","","","","carrying strap","","",
