Item Id,SKU,Type,Dog Size,Material,Features,Brand,Custom Bundle,Model,Bundle Description,MPN,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"265932666732","RTL23CR104","Ramps & Scratching Posts","","","","Solvit Products","","","","62278-1","","","","",
"265620559533","TXPD016","Ramps & Scratching Posts","","","","Trixie Pet Products","","","","3943","","","","",
