Item Id,SKU,Model,Brand,Maximum Photo Resolution,Connectivity,Features,Frame Rate,Color,Manufacturer Warranty,Country/Region of Manufacture,MPN,Maximum Video Resolution,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,
"264797669658","299034","C930e C930c","Interloper","1920 x 1080","USB 2.0,USB 3.0","Autofocus,Built-in Microphone,High Definition","30 fps","Black","","China","I80P-PT","1080P @30fps 1920x1080","No","","","","","",
"264796081670","299034","Logitech C930e","Interloper","1920 x 1080","USB 2.0,USB 3.0","Autofocus,Built-in Microphone,High Definition,Motion Detection,Video Conferencing Support","","Black","","","I80P-PT","1920x1080","","","","","","",
"264797670503","299034","C930e C930c","Interloper","1920 x 1080","USB 2.0,USB 3.0","Autofocus,Built-in Microphone,High Definition","30 fps","Black","","","I80P-PT","","","","","","","",
