Item Id,SKU,Type,Brand,Room,Style,Sensor Type,Material,Color,Number of Settings,Cord Color,Lighting Technology,Power Source,Shade Shape,Finish,Theme,Features,Character Family,Pattern,Character,Manufacturer,Control Style,Energy Star,Department,Country/Region of Manufacture,Voltage,Amperage,Item Diameter,Year Manufactured,Personalize,Personalized,Output Voltage,Assembly Required,Labels & Certifications,Era,Color Temperature,Lumens,IP Rating,Light Color,MPN,EC Range,Bulb Life Hours,Bulb Shape Code,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,Manufacturer Warranty,Model,Number of Speeds,Power Consumption,Product Line,Personalization Instructions,
"265632722026","ORE992","Lamps","ORE INTERNATIONAL","","","","","","","","","","","","","Adjustable","","","","","","","","","","","","","","","","","","","","","","","31171F-SN","","","","","","","","","","","","","","","","",
"255542202231","ORE049","Lamps","ORE INTERNATIONAL","","","","Brass","","","","","","","Polished","","","","","","","","","","","","","","","","","","","","","","","","","6866G","","","","","","","","","","","","","","","","",
"265632677785","ORE430","Lamps","ORE INTERNATIONAL","","","","Marble","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6935","","","","","","","","","","","","","","","","",
"265632721343","ORE927","Lamps","ORE INTERNATIONAL","","Modern","","Marble","Silver","","Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6937SN","","","","","","","","","","","","","","","","",
"255476796307","ORE423","Lamps","ORE INTERNATIONAL","","","","Brass","","","","","","","Polished","","","","","","","","","","","","","","","","","","","","","","","","","6966G","","","","","","","","","","","","","","","","",
"265632731820","ORE054","Lamps","ORE INTERNATIONAL","","","","","Black","4","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6968BK","","","","","","","","","","","","","","","","",
"255471757875","ORE912","Lamps","ORE INTERNATIONAL","","","","Brass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-4101BD-31","","","","","","","","","","","","","","","","",
"255471754132","ORE910","Lamps","ORE INTERNATIONAL","","","","Brass","Black","","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-4101BK-31","","","","","","","","","","","","","","","","",
"265629881928","ORE911","Lamps","ORE INTERNATIONAL","","","","Brass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-4101IV-31","","","","","","","","","","","","","","","","",
"255471791262","ORE3226","Lamps","ORE INTERNATIONAL","","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ORE-5159F","","","","","","","","","","","","","","","","",
"255530577503","ORE3217","Lamps","ORE INTERNATIONAL","","","","Crystal","Gold","","Gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ORE-5161F","","","","","","","","","","","","","","","","",
"255471743395","ODLC011","Lamps","Outdoor Lamp company","","Traditional","","Bronze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110B","","","","","","","","","","","","","","","","",
"265621888652","ZX9RTL95670","Wall Lamps","Lucent","","","Light","Aluminum","Black","","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LU498003","","","","","","","","","","","","","","","","",
"265632704889","PA182","Lamps","Patio Living","","","","Bronze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68267","","","","","","","","","","","","","","","","",
"255474879905","PATIO1673","Lamps","Patio Living Concepts","","","","Wicker","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17200","","","","","","","","","","","","","","","","",
"265629922521","PATIO1674","Lamps","Patio Living Concepts","","","","Wicker","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17201","","","","","","","","","","","","","","","","",
"255474953487","PATIO1682","Lamps","Patio Living Concepts","","","","Wicker","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19207","","","","","","","","","","","","","","","","",
"255476757013","PATIO1690","Lamps","Patio Living Concepts","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26166","","","","","","","","","","","","","","","","",
"255471735173","PATIO1697","Lamps","Patio Living Concepts","","","","Canvas","White","2","White","","","","","","","","","","","","A","","","","","","","","","","","","","","","","","38101","","","","","","","","","","","","","","","","",
"255474958905","PATIO1700","Lamps","Patio Living Concepts","","","","","Black","3","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47250","","","","","","","","","","","","","","","","",
"255476810375","PATIO1701","Lamps","Patio Living Concepts","","","","","White","3","White","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47251","","","","","","","","","","","","","","","","",
"265634206614","PATIO1702","Lamps","Patio Living Concepts","","","","","Black","2","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47270","","","","","","","","","","","","","","","","",
"255471802400","PATIO1703","Lamps","Patio Living Concepts","","","","","White","2","White","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47271","","","","","","","","","","","","","","","","",
"255471743157","PATIO1706","Lamps","Patio Living Concepts","","","","Bronze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56097","","","","","","","","","","","","","","","","",
"255474890871","PATIO1708","Lamps","Patio Living Concepts","","","","Fabric","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","59850","","","","","","","","","","","","","","","","",
"255476834102","PATIO1710","Lamps","Patio Living Concepts","","","","","Black","3","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62250","","","","","","","","","","","","","","","","",
"255474867542","PATIO1711","Lamps","Patio Living Concepts","","","","","Black","2","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62270","","","","","","","","","","","","","","","","",
"255471803347","PATIO1714","Lamps","Patio Living Concepts","","","","Fabric","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","64850","","","","","","","","","","","","","","","","",
"255476753410","PATIO1717","Lamps","Patio Living Concepts","","","","Bamboo","","","","LED","","","Natural","","","","","","","","","","","","","","","","","","","","","","","","","65850","","","","","","","","","","","","","","","","",
"255476777015","PATIO1720","Lamps","Patio Living Concepts","","","","Resin","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","68850","","","","","","","","","","","","","","","","",
"255471745063","PATIO1722","Lamps","Patio Living Concepts","","","","Fabric","Orange","","Orange","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","73850","","","","","","","","","","","","","","","","",
"255476779806","PATIO1656","Lamps","PatioLiving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65697","","","","","","","","","","","","","","","","",
"265629910870","PATIO1655","Lamps","PatioLiving","","","","Canvas","Black","","Black","","","","","","","","","Flo","","","","","","","","","","","","","","","","","","","","67620","","","","","","","","","","","","","","","","",
"265839038054","ZX9ORE062","Lamps","Cling","","Antique","","","Gold","","Gold","","","","Antique Gold","Pineapple","","","","","","","","","","","","","","","","","","","","","","","","CL106045","","","","","","","","","","","","","","","","",
"255476832824","ZX9ORE423","Lamps","Cling","","","","Brass","","","","","","","Polished","","","","","","","","","","","","","","","","","","","","","","","","","CL26805","","","","","","","","","","","","","","","","",
"265698420084","ZX9ORE049","Lamps","Cling","","","","Brass","","","","","","","Polished","","","","","","","","","","","","","","","","","","","","","","","","","CL434114","","","","","","","","","","","","","","","","",
"255471813427","ZX9ISN56121","Lamps","Star Lord","","","","","Red","","Red","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","ST1362691","","","","","","","","","","","","","","","","",
"264331769734","115848","Desk Lamp","Mitaki-Japan","Home Office/Study,Study,Bedroom,Dining Room,Living Room","Modern","Light","Silver,Plastic,Aluminum,Chrome,Metal,ABS","Gray","1","Black","LED","Battery","Drum","Painted","Sports","Portable,Daylight Bulb,Adjustable,Color Changing,Dimmer,Flexible Arm,Gooseneck","Portable Lamp","Brushed","","","Switch","","Adults","China","","","","2000","No","No","","No","","","","2000 lm or More","","White","12-Bulb-LED-Desk-Lamp","","","","","","No","7-7/8""","7-7/8 in","4.25 in","","","","","12 watts","","",
"265621891946","ZX9DBMRL7163","Wall Lamps","Intense","","","Light","Stainless Steel","","","","","","","Stainless","","","","","","","","","","","","","","","","","","","","","","","","","IN1322985","","","","","","","","","","","","","","","","",
"265632679773","ACHR159051","Lamps","Torch Light","","Antique","Light","Bronze","","","","","","","Antique Bronze","","","","","","","","","","","","","","","","","","","","","","","","","3009184","","","","","","","","","","","","","","","","",
"255474977007","ZX9ODLC010","Lamps","BrightBoom","","Traditional","","","White","","White","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BR105130","","","","","","","","","","","","","","","","",
"265621892423","ZX9LIVEX3042","Wall Lamps","lighting","","","Light","Nickel","","1","","","","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","LI656122","","","","","","","","","","","","","","","","",
"255463258835","ZX9LIVEX3041","Wall Lamps","lighting","","","Light","","Gold","1","Gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI366604","","","","","","","","","","","","","","","","",
"255463264323","VXCL080","Wall Lamps","Vaxcel International","","","","Pine","","","","","","","","Tree","","","","","","","","","","","","","","","","","","","","","","","","AS-WSU120PT","","","","","","","","","","","","","","","","",
"265621900789","VXCL3455","Wall Lamps","Vaxcel International","","","Light","Bronze","","5","","","","","Textured","","","","","","","","","","","","","","","","","","","","","","","","","H0198","","","","","","","","","","","","","","","","",
"265621889238","VXCL1300","Wall Lamps","Vaxcel International","","","Light","","","","","","","","Textured","","","","","","","","","","","","","","","","","","","","","","","","","T0080","","","","","","","","","","","","","","","","",
