Item Id,SKU,Suitable For,Type,Features,Size,Brand,Material,Shape,Color,Personalized,Room,Country/Region of Manufacture,Pattern,MPN,Item Length,Item Width,Bundle Description,Custom Bundle,California Prop 65 Warning,
"255528900910","GTMY13550","","Rugs","","","Glitzy Rugs","","Rectangle","","","","","","UBSLS0111L0003A11","","","","","",
"265698013295","GTMY13551","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L0003A15","","","","","",
"265674098628","GTMY13552","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L0003A16","","","","","",
"265674197126","GTMY13556","","Rugs","","","Glitzy Rugs","","Rectangle","","","","","","UBSLS0111L0003A9","","","","","",
"265669373795","GTMY13557","","Rugs","","","Glitzy Rugs","","Round","","","","","","UBSLS0111L0003B13","","","","","",
"265679909946","GTMY13580","","Rugs","","","Glitzy Rugs","","Rectangle","","","","","","UBSLS0111L0012A11","","","","","",
"255524102623","GTMY13581","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L0012A15","","","","","",
"255529012917","GTMY13582","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L0012A17","","","","","",
"255534683183","GTMY13583","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L0012A18","","","","","",
"255541729888","GTMY13585","","Rugs","","","Glitzy Rugs","","Rectangle","","","","","","UBSLS0111L0012A9","","","","","",
"255523950594","GTMY13612","","Rugs","","","Glitzy Rugs","","Rectangle","","","","","","UBSLS0111L0025A11","","","","","",
"265668931412","GTMY13613","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L0025A15","","","","","",
"255524001651","GTMY13614","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L0025A16","","","","","",
"265680102917","GTMY13615","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L0025A17","","","","","",
"255513556830","GTMY13618","","Rugs","","","Glitzy Rugs","","Rectangle","","","","","","UBSLS0111L0025A9","","","","","",
"265697900699","GTMY13619","","Rugs","","","Glitzy Rugs","","Square","","","","","","UBSLS0111L0025C13","","","","","",
"255528801266","GTMY13628","","Rugs","","","Glitzy Rugs","","Rectangle","","","","","","UBSLS0111L0026A11","","","","","",
"265665337705","GTMY13629","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L0026A15","","","","","",
"255539002478","GTMY13630","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L0026A16","","","","","",
"265680010178","GTMY13633","","Rugs","","","Glitzy Rugs","","Rectangle","","","","","","UBSLS0111L0026A9","","","","","",
"255541695896","GTMY13643","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L00X03A15","","","","","",
"265698022120","GTMY13667","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L00X26A11","","","","","",
"265680023539","GTMY13668","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L00X26A15","","","","","",
"255534572446","GTMY9222","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L00Y03A11","","","","","",
"255488982836","GTMY9226","","Rugs","","","Glitzy Rugs","","Rectangle","","","","","","UBSLS0111L00Y03A9","","","","","",
"265684838220","GTMY9240","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L00Y26A11","","","","","",
"255518132879","GTMY9242","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L00Y26A16","","","","","",
"255509920749","GTMY9245","","Rugs","","","Glitzy Rugs","","Rectangle","","","","","","UBSLS0111L00Y26A9","","","","","",
"255518189788","GTMY9267","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0111L0412A17","","","","","",
"255509804221","GTMY9317","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0202L1312A17","","","","","",
"265684725799","GTMY9318","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0204L0412A17","","","","","",
"265644739075","GTMY9319","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0204L0412A9","","","","","",
"255513259889","GTMY9323","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0204L1312A16","","","","","",
"255534496510","GTMY9324","","Rugs","","","Glitzy Rugs","","Rectangle","","","","","","UBSLS0206L0401A11","","","","","",
"265698000265","GTMY9331","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0217L1226A18","","","","","",
"265644717180","GTMY9346","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0501L0631A16","","","","","",
"255518066958","GTMY14053","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0501L2631C13","","","","","",
"265690782795","GTMY14058","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0516L0004A16","","","","","",
"255524279329","GTMY14101","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0585L0025A9","","","","","",
"265665365207","GTMY14128","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0605L0026A15","","","","","",
"255518187800","GTMY14144","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0606L0025A9","","","","","",
"255524087460","GTMY14156","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0608L0003A11","","","","","",
"255539157990","GTMY14179","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0613L0000A11","","","","","",
"265684630466","GTMY14180","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0613L0000A15","","","","","",
"265669106415","GTMY14181","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0613L0000A18","","","","","",
"255513502033","GTMY14182","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0613L0000A9","","","","","",
"255524098901","GTMY9354","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0614L0401A9","","","","","",
"255539020380","GTMY9355","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0615L0000A11","","","","","",
"265684833920","GTMY9356","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0615L0000A15","","","","","",
"265684723982","GTMY9357","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0615L0000A16","","","","","",
"265730064004","GTMY9361","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0616L0000A15","","","","","",
"255518138276","GTMY9363","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0618L0000A15","","","","","",
"265695297175","GTMY9364","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0619L0001A11","","","","","",
"265690623876","GTMY9365","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0619L0001A9","","","","","",
"255541607222","GTMY9377","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0623L2602A9","","","","","",
"265684632572","GTMY9379","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0A98L0432A11","","","","","",
"265679930741","GTMY9380","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0A98L0432A15","","","","","",
"265669413808","GTMY9386","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS0B98L0432A9","","","","","",
"255488927680","GTMY9397","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS1223L0301A15","","","","","",
"255541730639","GTMY9409","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLS1223L2601A11","","","","","",
"265665474471","GTMY9429","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLSB904L0028C13","","","","","",
"255488956310","GTMY9430","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLSB904L03X03A11","","","","","",
"255534665373","GTMY9431","","Rugs","","","Glitzy Rugs","","","","","","","","UBSLSTG106L0000A15","","","","","",
"255513280301","GTMY13150","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00033M0032A15","","","","","",
"255523999709","GTMY13152","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00033M0032A18","","","","","",
"265644894104","GTMY9492","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00036M0032A18","","","","","",
"265668966022","GTMY9499","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00037M0040A18","","","","","",
"255518220279","GTMY9505","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00038M0003A17","","","","","",
"255529025924","GTMY9506","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00038M0003A18","","","","","",
"265669030496","GTMY9546","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00044M0140A15","","","","","",
"255488990541","GTMY9548","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00044M0140A18","","","","","",
"265669371106","GTMY9616","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00054M0017A15","","","","","",
"255534664328","GTMY9617","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00054M0017A17","","","","","",
"265690482375","GTMY9618","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00054M0017A18","","","","","",
"265695108325","GTMY9646","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00058C0003A17","","","","","",
"265680019134","GTMY9647","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00058C0003A18","","","","","",
"255539078158","GTMY9655","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00059C0004A11","","","","","",
"265680067232","GTMY9656","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00059C0004A15","","","","","",
"265684848059","GTMY9657","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00059C0004A17","","","","","",
"255541785162","GTMY9658","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00059C0004A18","","","","","",
"265690805253","GTMY9660","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00059C0004A95","","","","","",
"255513564607","GTMY9666","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00060C0000A15","","","","","",
"255539131545","GTMY9667","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00060C0000A17","","","","","",
"255539040632","GTMY9670","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00060C0000A95","","","","","",
"265644657955","GTMY9676","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00061C0003A15","","","","","",
"265669356218","GTMY9680","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00061C0003A95","","","","","",
"255489110402","GTMY9686","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00062C0026A15","","","","","",
"255513310927","GTMY9688","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00062C0026A18","","","","","",
"255541611306","GTMY9690","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00062C0026A95","","","","","",
"265690706172","GTMY9696","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00063C1703A15","","","","","",
"265644654839","GTMY9697","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00063C1703A17","","","","","",
"255523912541","GTMY9698","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00063C1703A18","","","","","",
"265679893963","GTMY9706","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00064C0003A15","","","","","",
"255524064709","GTMY9707","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00064C0003A17","","","","","",
"265644840523","GTMY9708","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00064C0003A18","","","","","",
"265684674414","GTMY9710","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00064C0003A95","","","","","",
"265669248259","GTMY9718","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00065C0003A18","","","","","",
"265665493155","GTMY9727","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00066C0000A15","","","","","",
"255518117706","GTMY9729","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00066C0000A18","","","","","",
"265684861458","GTMY9731","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00066C0000A95","","","","","",
"255489083430","GTMY9748","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00068C0000A15","","","","","",
"255489108171","GTMY9750","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00068C0000A18","","","","","",
"265665509950","GTMY9759","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00069C0017A15","","","","","",
"255518057394","GTMY9763","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00069C0017A95","","","","","",
"265669422742","GTMY9769","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00070C0017A15","","","","","",
"255539067967","GTMY9770","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00070C0017A17","","","","","",
"265665406175","GTMY9771","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00070C0017A18","","","","","",
"265669030135","GTMY9773","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00070C0017A95","","","","","",
"255518252849","GTMY9780","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00071C0000A15","","","","","",
"265674165580","GTMY9791","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00072C1403A17","","","","","",
"255524266536","GTMY9799","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00073C0011A11","","","","","",
"265665546413","GTMY9800","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00073C0011A15","","","","","",
"255524009704","GTMY9801","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00073C0011A17","","","","","",
"265684609878","GTMY9804","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00073C0011A95","","","","","",
"265697979821","GTMY9810","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00074C0003A15","","","","","",
"265690745621","GTMY9811","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00074C0003A17","","","","","",
"255513339270","GTMY9814","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00074C0003A95","","","","","",
"265690533256","GTMY9821","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00075C1703A15","","","","","",
"265680185592","GTMY9822","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00075C1703A17","","","","","",
"255524198799","GTMY9825","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00075C1703A95","","","","","",
"265680180783","GTMY9831","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00076C0009A11","","","","","",
"255513566704","GTMY9832","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00076C0009A15","","","","","",
"265665535224","GTMY9833","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00076C0009A17","","","","","",
"265684634589","GTMY10434","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00078C0003A15","","","","","",
"255518223032","GTMY10435","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00078C0003A17","","","","","",
"255513213065","GTMY10438","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00078C0003A95","","","","","",
"255534684328","GTMY14300","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00079C0000A15","","","","","",
"255529068860","GTMY14301","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00079C0000A17","","","","","",
"265668953784","GTMY14304","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00079C0000A95","","","","","",
"265690625690","GTMY10445","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00080C0004A15","","","","","",
"255524268249","GTMY10446","","Rugs","","","Glitzy Rugs","Polyester","","","","","","","UBSM00080C0004A17","","","","","",
"255541678580","GTMY10449","","Rugs","","","Glitzy Rugs","","","","","","","","UBSM00080C0004A95","","","","","",
