Item Id,SKU,Color,Size,Brand,Type,Weave,Regional Design,Shape,Material,Production Technique,Room,Style,Pattern,Theme,Features,Pile Height,Country/Region of Manufacture,Item Width,Care Instructions,Pile Type,Department,Handmade,Personalize,Personalized,Era,Item Length,Time Period Manufactured,Original/Reproduction,Item Thickness,MPN,Model,Bundle Description,California Prop 65 Warning,Custom Bundle,Personalization Instructions,
"255534572642","ZX9GTMY8253","Beige","","Micasa","Rugs","","","Round","","Tufted","","","Solid","","","","","","","","","","","","","","","","","MI1553416","","","","","",
"255528976953","ZX9GTMY10214","Brown","","Micasa","Area Rugs","","","Round","","Tufted","","","","","","","","","","","","","","","","","","","","MI2130727","","","","","",
"255725256574","ZX9NRSN4348","Beige","","PalaceDesigns","Area Rugs","","","Rectangle","","","","","","","","","","","","","","","","","","","","","","PA2471608","","","","","",
"265884027484","ZX9NRSN4419","Silver","","PalaceDesigns","Area Rugs","","","Rectangle","","","","","","","","","","","","","","","","","","","","","","PA2470762","","","","","",
"255737945178","ZX9NRSN4411","","","PalaceDesigns","Area Rugs","","","Rectangle","","","","","","","","","","","","","","","","","","","","","","PA2475669","","","","","",
"255737774578","ZX9MYBR2033","Blue","","Sleep EZ","Area Rugs","","","","","","","","","","","","","","","","","","","","","","","","","SL2464784","","","","","",
"265680041465","ZX9MYBR2061","","","Sleep EZ","Area Rugs","","","","","","","","","","","","","","","","","","","","","","","","","SL1827904","","","","","",
"255737977128","ZX9MYBR2066","","","Sleep EZ","Area Rugs","","","","","","","","","","","","","","","","","","","","","","","","","SL2467287","","","","","",
"265887741087","ZX9IFNT1502","","","PerfectPillows","Area Rugs","","","","","","","Contemporary","","Galaxy","","","","","","","","","","","","","","","","PE12873","","","","","",
"265887862518","ZX9IFNT1501","","","PerfectPillows","Area Rugs","","","","","","","Contemporary","","","","","","","","","","","","","","","","","","PE78333","","","","","",
"255728761586","ZX9IFNT1387","Red","","PerfectPillows","Area Rugs","","","","","","","","","","","","","","","","","","","","","","","","","PE1575500","","","","","",
"255737834295","ZX9OCNTR55593","","","PalaceDesigns","Area Rugs","","","Oval","","","","","","","","","","","","","","","","","","","","","","PA2456783","","","","","",
"255541836632","ZX9GTMY11682","Beige","","Micasa","Area Rugs","","","","","Tufted","","Geometric","Geometric","","","","","","","","","","","","","","","","","MI2100149","","","","","",
"265884138660","ZX9PRGC3802","Beige","","Wall-to-Wall","Area Rugs","","","","","","","","","","","","","","","","","","","","","","","","","WA2472219","","","","","",
"265884017461","ZX9PRGC3791","","","Wall-to-Wall","Area Rugs","","","","","","","","","","","","","","","","","","","","","","","","","WA2637158","","","","","",
"265887642000","ZX9PRGC2387","Multicolor","","Made4Mansions","Area Rugs","","","","","","","","","","","","","","","","","","","","","","","","","MA2637134","","","","","",
"265729951918","ZX9PRGC2383","Silver","","Made4Mansions","Area Rugs","","","","","","","","","","","","","","","","","","","","","","","","","MA911359","","","","","",
"255518129868","ZX9GTMY11273","Brown","","Micasa","Area Rugs","","","Rectangle","","Tufted","","","Floral","","","","","","","","","","","","","","","","","MI1771926","","","","","",
