Item Id,SKU,Hair Origin,Type,Hair Color Shade,Style,Cap Construction,Texture,Brand,Department,Theme,Features,Cap Size,Item Length,Wig Parting Type,Number of Attachments,Country/Region of Manufacture,Attachment Type,Manufacturer Warranty,MPN,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Weight,
"255800872698","308281","Synthetic","Wig","Golden Blond","Body Wave","Classic Cap","Wavy","Unbranded","Women","Blonde Hair","Synthetic Hair","One Size","Chest Length","","","China","","1 Month","golden-blonde-wig","","","No","",
"255800872700","308280","Synthetic","Wig","Brown","Straight Hair","weft cap","Straight","Unbranded","Women","Brown Hair","Brown Hair","One Size","chest length","","","China","","1 Month","Brown-Wig","","","No","0.22 lb",
