Item Id,SKU,Type,Theme,Material,Mounting,Number of Hooks,Brand,Color,Features,Style,Hook Style,Finish,Personalize,Item Weight,Country/Region of Manufacture,Personalized,Item Height,Department,Item Length,Item Width,Number in Pack,Original/Reproduction,Model,MPN,Bundle Description,California Prop 65 Warning,Care Instructions,Custom Bundle,Personalization Instructions,
"255416831856","307813","Hook Behind Door","Closet Organizer","Metal","Hanging,Over-the-Door","6","Unbranded","White","Easy Installation,Heavy Duty","Modern","Modern","Matte","No","1 lbs","China","No","6 in","Adults","18 in","6 in","2","","Over-the-door-hanger","Does Not Apply","","","","No","",
"255200621298","307813","Hook Rack","Home Organization","Metal","Over-the-Door","6","Unbranded","White","over the door","Modern","Traditional","Matte","No","6 oz","China","No","6 in","Adults","18 in","6 in","2","Original","6 Hook Rack","SYNCHKG106132","","","","No","",
