Item Id,SKU,Type,Material,Brand,Application,Color,Finish,Compatible Brand,Model,Country/Region of Manufacture,Bundle Description,Custom Bundle,Item Depth,Item Height,Item Weight,Item Width,Number in Pack,MPN,California Prop 65 Warning,Compatible Model,Style,Features,Construction,Manufacturer Warranty,Year Manufactured,
"255728843975","CPPF7025","Fireplaces","Chrome","WOLF STEEL LTD (CORE)","","","Chrome","","","","","","","","","","","16818","","","","","","","",
"255728902795","ZX9CPPF9856","Fireplaces","Steel","Dare2Decor","","","","","","","","","","","","","","DA2203670","","","","","","","",
"265690715727","CPPF9844","Fireplaces","Steel","WOLF STEEL LTD (CORE)","","Black","","","","","","","","","","","","16311","","","","","","","",
"255518127077","CPPF9842","Fireplaces","Steel","WOLF STEEL LTD (CORE)","","Black","","","","","","","","","","","","16411","","","","","","","",
"255513279560","CPPF9841","Fireplaces","Brass","WOLF STEEL LTD (CORE)","","","Brass","","","","","","","","","","","16412","","","","","","","",
"265669420429","CPPF9856","Fireplaces","Steel","WOLF STEEL LTD (CORE)","","","","","","","","","","","","","","16414","","","","","","","",
"255725268847","CPPF9803","Fireplaces","Steel","WOLF STEEL LTD (CORE)","","","","","","","","","","","","","","16656","","","","","","","",
"265698031962","CPPF9837","Fireplaces","Steel","WOLF STEEL LTD (CORE)","","","","","","","","","","","","","","16943","","","","","","","",
"265680083319","CPPF6514","Fireplaces","Stainless Steel","Chimney","","","","","","","","","","","","","","57235","","","","","","","",
"265684597136","CPPF6376","Fireplaces","Steel","Chimney","","Black","","","","","","","","","","","","57298","","","","","","","",
"265695303114","CPPF7598","Fireplaces","Glass","Wolf Steel","","","Glass","","","","","","","","","","","17023","","","","","","","",
"265665360824","CPPF7625","Fireplaces","Steel","Wolf Steel","","","","","","","","","","","","","","123061","","","","","","","",
"265669251967","CPPF7634","Fireplaces","Steel","Wolf Steel","","Black","","","","","","","","","","","","16824","","","","","","","",
